owner_class,Year,mean_BA_sqft_ac
federal,2022,86.8
federal,2027,109.0
federal,2032,106.8
federal,2037,123.1
federal,2042,112.2
federal,2047,125.5
federal,2052,113.0
federal,2057,125.6
federal,2062,112.6
federal,2067,124.3
federal,2072,135.9
local,2022,83.9
local,2027,106.8
local,2032,132.4
local,2037,154.3
local,2042,170.1
local,2047,182.0
local,2052,189.7
local,2057,193.3
local,2062,194.5
local,2067,194.5
local,2072,194.3
private_family,2022,84.9
private_family,2027,107.5
private_family,2032,116.7
private_family,2037,136.0
private_family,2042,153.9
private_family,2047,168.8
private_family,2052,179.1
private_family,2057,185.7
private_family,2062,188.9
private_family,2067,190.2
private_family,2072,190.7
private_industrial,2022,83.1
private_industrial,2027,23.6
private_industrial,2032,22.4
private_industrial,2037,28.2
private_industrial,2042,49.7
private_industrial,2047,78.2
private_industrial,2052,107.3
private_industrial,2057,133.7
private_industrial,2062,154.9
private_industrial,2067,170.3
private_industrial,2072,179.8
state,2022,87.7
state,2027,98.3
state,2032,115.8
state,2037,134.9
state,2042,135.6
state,2047,151.1
state,2052,158.7
state,2057,162.3
state,2062,166.8
state,2067,175.1
state,2072,181.8
unknown,2022,72.6
unknown,2027,92.5
unknown,2032,101.4
unknown,2037,118.0
unknown,2042,133.5
unknown,2047,147.0
unknown,2052,157.9
unknown,2057,166.8
unknown,2062,173.6
unknown,2067,178.1
unknown,2072,181.0
