Year,harvest_class,stands,acres,removed_cuft_per_ac
2027,below_10pct,8,9.8,147.3
2027,clearcut,527,4590.7,2642.5
2027,thin_10_30,57,935.2,448.5
2027,thin_31_90,10,414.1,325.9
2032,below_10pct,1566,6568.4,165.2
2032,clearcut,37,510.6,2829.5
2032,thin_10_30,2344,18788.6,459.3
2032,thin_31_90,75,138.8,572.2
2037,clearcut,34,511.5,3282.5
2037,thin_10_30,13,4.4,610.8
2042,below_10pct,33,409.2,242.1
2042,clearcut,54,202.8,3605.2
2042,thin_10_30,464,7938.2,753.9
2047,clearcut,33,84.1,4714.0
2052,clearcut,20,25.6,3967.9
2052,thin_10_30,443,7649.9,800.2
2057,below_10pct,44,654.7,167.3
2057,clearcut,11,5.6,4240.3
2057,thin_10_30,10,42.7,355.7
2062,clearcut,12,4.2,2520.5
2062,thin_10_30,443,7649.9,816.5
2067,clearcut,2,1.3,4441.1
