Year,harvest_class,stands,acres
2027,clearcut,476,4498.4
2027,thin_10_30,53,726.6
2027,thin_31_90,82,986.1
2032,clearcut,229,2348.7
2032,thin_10_30,42,441.2
2032,thin_31_90,60,515.7
2037,clearcut,135,1324.6
2037,thin_10_30,44,859.8
2037,thin_31_90,52,950.3
2042,clearcut,52,460.6
2042,thin_10_30,42,747.0
2042,thin_31_90,461,4223.5
2047,clearcut,172,2464.4
2047,thin_10_30,38,588.2
2047,thin_31_90,244,2409.0
2052,clearcut,220,1518.3
2052,thin_10_30,37,563.1
2052,thin_31_90,123,947.0
2057,clearcut,271,2751.2
2057,thin_10_30,61,678.5
2057,thin_31_90,59,539.8
2062,clearcut,208,1464.9
2062,thin_10_30,41,800.2
2062,thin_31_90,178,2331.6
2067,clearcut,172,2391.2
2067,thin_10_30,48,598.7
2067,thin_31_90,219,1873.0
