Year,harvest_class,stands,acres
2027,clearcut,417,2729.7
2027,thin_10_30,462,2291.1
2027,thin_31_90,465,3182.5
2032,clearcut,298,1631.0
2032,thin_10_30,352,2216.8
2032,thin_31_90,404,2465.9
2037,clearcut,326,2213.1
2037,thin_10_30,397,3193.4
2037,thin_31_90,372,2608.7
2042,clearcut,323,1725.6
2042,thin_10_30,358,2285.6
2042,thin_31_90,385,1945.1
2047,clearcut,300,1317.2
2047,thin_10_30,405,2547.3
2047,thin_31_90,411,2259.3
2052,clearcut,340,2459.7
2052,thin_10_30,377,2648.9
2052,thin_31_90,371,2472.8
2057,clearcut,277,2140.3
2057,thin_10_30,368,2247.5
2057,thin_31_90,405,2411.9
2062,clearcut,363,2608.5
2062,thin_10_30,387,2482.8
2062,thin_31_90,387,2194.4
2067,clearcut,326,1774.0
2067,thin_10_30,386,2109.0
2067,thin_31_90,352,2069.4
