"YEAR","TPA","BAA","TREE_TOTAL","BA_TOTAL","AREA_TOTAL","TPA_SE","BAA_SE","TREE_TOTAL_SE","BA_TOTAL_SE","AREA_TOTAL_SE","nPlots_TREE","nPlots_AREA","CARB_ACRE","CARB_ACRE_SE","CARB_TOTAL","CARB_TOTAL_SE"
2004,473.214718784544,75.1489271074707,7668590688.26821,1217811576.381,16205308.8880351,2.26958718840208,1.91436928706055,2.45338847350657,2.10442333110378,1.04220941266536,1727,1802,16.9414804221606,2.04480698111276,274541923.261712,2.18862640790974
2007,471.60128233689,76.1541371336456,7968712309.14576,1286787022.63526,16897138.7644643,1.73725757844188,1.43344755237509,1.88850282915215,1.57834522525575,0.85544935958102,2919,3061,16.8397426619171,1.52180481793573,284543468.516283,1.63265354301576
2009,472.826567700192,76.3043991222561,8120809026.87957,1310530108.73862,17175026.9160611,1.73783724042302,1.41288341256675,1.90150247768294,1.56476574429566,0.858364647078429,2975,3124,16.9335820023125,1.50957438608966,290834726.675045,1.62006254976901
2010,473.292601610594,76.5685087368913,8207969313.12249,1327871950.51284,17342272.5924537,1.72860961314042,1.40972903725929,1.89829877245912,1.56146506958427,0.847372426430735,2998,3154,17.0446375876285,1.50203257500884,295592751.284235,1.61267115113489
2011,467.469104978586,75.9110609019065,8162459676.09699,1325480052.01315,17460960.7119831,1.73790693975709,1.42067134784514,1.89961685139563,1.56910568035963,0.834380645597592,3020,3190,17.0733567482256,1.51483663244444,298117211.402439,1.62572932532613
2012,464.43570779884,76.3020702417074,8097749100.78369,1330377941.04182,17435672.9355768,1.72794815547568,1.4060447666893,1.89541474881783,1.56281761992476,0.834872455967023,3038,3198,17.3576567818722,1.50316074776556,302642426.576721,1.62553248364763
2013,464.146883468684,77.0573189630701,8016650225.72953,1330918283.54609,17271795.8716412,1.72635545516938,1.40413920076921,1.90266077060214,1.56755880967397,0.838572001529823,3011,3167,17.7317184927173,1.49312560232371,306258622.259618,1.62001109083911
2014,465.715093608408,79.4014882850649,8035003524.15287,1369917460.15844,17253045.1222803,1.68039065821926,1.29282934355223,1.81388678470331,1.39200875512551,0.842663407888171,3109,3261,18.4654348677794,1.39725911027828,318584980.976327,1.46296924010821
2015,465.453484056682,80.2310278393608,7985505035.69073,1376475413.28069,17156397.5976561,1.71733791515475,1.29529694820661,1.85924643321609,1.40248382312024,0.846702084066508,3125,3278,18.7124025598594,1.39323397871536,321037418.324346,1.46463408156152
2016,471.012018056509,81.7550938338462,8031964516.28546,1394134305.55027,17052568.1052194,1.70689832958282,1.28944275709654,1.86381110239758,1.41025597858427,0.8516297672891,3115,3256,19.137417280248,1.38529590108091,326342111.529432,1.46812204657448
2017,469.681241442199,82.7713490322043,7970710592.21261,1404668550.17864,16970468.242968,1.72192815526164,1.295447114781,1.88617758710521,1.42552517461942,0.858920014366556,3100,3245,19.4965268175661,1.39047427055198,330865189.205679,1.48134601154831
2018,467.166972122805,82.5886045507452,7915092744.24712,1399277996.18775,16942748.988185,1.72682724383485,1.32072591615083,1.90332735392572,1.4609894620633,0.862756034664105,3093,3245,19.4950593095863,1.41732233566787,330299896.3921,1.51437805755283
2019,474.843150202885,82.5069478363044,8049787080.96245,1398700523.52772,16952518.0631184,1.73816694565523,1.33761126378161,1.92806066119712,1.48923460782614,0.869141587804758,3095,3256,19.5381025655544,1.43331264296364,331220036.66162,1.53997148085887
2020,476.781874824102,82.969140442854,8058937746.1875,1402408885.46849,16902777.0805269,1.73185465260532,1.34286167132188,1.92582816062933,1.50142020575205,0.875665937568895,3086,3248,19.7103877270054,1.43861408507297,333160289.920326,1.55061679517104
2021,474.787186505032,83.1768171628402,7995281341.16187,1400673971.79482,16839715.9157056,1.74291902554588,1.34740679074868,1.94274431744226,1.5157575563836,0.880028013244619,3078,3244,19.8254097200159,1.44517988993005,333854267.597536,1.56360906388632
2022,480.258040986628,83.1724036496229,8076198486.008,1398658186.03011,16816373.2759508,1.78643317137035,1.35424896479097,1.99158342164066,1.53139121287586,0.887180557725118,3064,3234,19.8065811932069,1.45366980426805,333074862.665394,1.58034143219818
2023,481.314416260979,83.556828545297,8065932402.88653,1400256688.92599,16758135.9094655,1.79196331682569,1.3584845979408,1.99959570628444,1.54203481786476,0.896005776153758,3060,3227,19.9776402294597,1.46201543154186,334788010.115691,1.59453590016216
