STATEFP,STATE_NAME,pixel_count,value_sum,value_min,value_max,area_hectares,area_acres,value_mean
01,Alabama,95914020,8905485873.570927,3.1277999877929688,450.61529541015625,8632261.8,21330783.450134795,92.84863540878514
05,Arkansas,79984013,7626498200.733505,3.180999994277954,406.59368896484375,7198561.17,17788032.039276075,95.35028207116221
12,Florida,71617695,5576619726.994181,3.892400026321411,450.61529541015625,6445592.55,15927406.05849699,77.86650669215452
13,Georgia,100007979,9558233527.9049,3.1277999877929688,319.36968994140625,9000718.11,22241258.820500154,95.57470937298812
21,Kentucky,59880970,5805694284.140165,3.180999994277954,258.4952087402344,5389287.3,13317218.941026745,96.95391180437066
22,Louisiana,62073932,5550462264.99977,3.748500108718872,450.61529541015625,5586653.88,13804922.381424453,89.41695952174852
28,Mississippi,80689322,7832661112.670894,3.4753000736236572,450.61529541015625,7262038.9799999995,17944889.12382358,97.07184195538157
37,North Carolina,79902851,8655951884.97482,3.1277999877929688,315.9466857910156,7191256.59,17769982.0290025,108.33095160740659
45,South Carolina,52806192,5220870221.275463,3.1277999877929688,316.35980224609375,4752557.28,11743824.796189757,98.86852324582433
47,Tennessee,63912112,6598625716.877821,3.180999994277954,279.93548583984375,5752090.08,14213724.134519244,103.24530844603947
51,Virginia,70185588,7906064219.329586,3.180999994277954,335.42730712890625,6316702.92,15608912.846613865,112.64512337389816
