scenario,cycle,event_year,unit_id,tm_id,PLT_CN,county_name,owner_group,owner_name,ForTypName,acres,regime,proportion,stand_age,merch_cuft,removable_volume,harvested,volume_removed,blocked_by
all_combined,2,2032,TM13183_Baker_O3,13183,43266266020004,Baker,Private,Family Forest,Baldcypress / pondcypress,372.9562,thin_from_below,0.3500,82,1213.4985,158403.6106,True,158403.6106,
all_combined,2,2032,TM13183_Baker_O6,13183,43266266020004,Baker,Federal (NF),Federal,Baldcypress / pondcypress,285.1102,selection_harvest,0.2000,82,1213.4985,69196.1594,False,0.0000,owner_group
all_combined,2,2032,TM13183_Columbia_O3,13183,43266266020004,Columbia,Private,Family Forest,Baldcypress / pondcypress,0.8896,thin_from_below,0.3500,82,1213.4985,377.8261,True,377.8261,
all_combined,2,2032,TM13183_Columbia_O6,13183,43266266020004,Columbia,Federal (NF),Federal,Baldcypress / pondcypress,710.9963,selection_harvest,0.2000,82,1213.4985,172558.5971,False,0.0000,owner_group
all_combined,2,2032,TM13183_Columbia_O8,13183,43266266020004,Columbia,Other public,Local,Baldcypress / pondcypress,5.1151,selection_harvest,0.2000,82,1213.4985,1241.4288,True,1241.4288,
all_combined,2,2032,TM13183_Hamilton_O3,13183,43266266020004,Hamilton,Private,Family Forest,Baldcypress / pondcypress,0.4448,thin_from_below,0.3500,82,1213.4985,188.9131,True,188.9131,
all_combined,2,2032,TM13186_Hamilton_O3,13186,43266306020004,Hamilton,Private,Family Forest,Slash pine,10.6750,thin_from_below,0.3500,62,4194.3970,15671.2459,True,15671.2459,
all_combined,2,2032,TM13255_Columbia_O8,13255,43393151010478,Columbia,Other public,Local,Mixed upland hardwoods,0.2224,selection_harvest,0.2000,86,3412.7856,151.7972,True,151.7972,
all_combined,2,2032,TM13255_Hamilton_O3,13255,43393151010478,Hamilton,Private,Family Forest,Mixed upland hardwoods,12.0093,thin_from_below,0.3500,86,3412.7856,14344.8341,True,14344.8341,
all_combined,2,2032,TM13255_Hamilton_O8,13255,43393151010478,Hamilton,Other public,Local,Mixed upland hardwoods,0.4448,selection_harvest,0.2000,86,3412.7856,303.5944,True,303.5944,
all_combined,2,2032,TM13255_Suwannee_O3,13255,43393151010478,Suwannee,Private,Family Forest,Mixed upland hardwoods,1.1120,thin_from_below,0.3500,86,3412.7856,1328.2254,True,1328.2254,
all_combined,2,2032,TM13275_Hamilton_O3,13275,43441517010478,Hamilton,Private,Family Forest,Slash pine,72.9455,thin_from_below,0.3500,78,5136.4795,131139.0882,True,131139.0882,
all_combined,2,2032,TM13275_Hamilton_O6,13275,43441517010478,Hamilton,Federal (NF),Federal,Slash pine,1.5568,selection_harvest,0.2000,78,5136.4795,1599.2572,False,0.0000,owner_group
all_combined,2,2032,TM13275_Hamilton_O8,13275,43441517010478,Hamilton,Other public,Local,Slash pine,1.3344,selection_harvest,0.2000,78,5136.4795,1370.7919,True,1370.7919,
all_combined,2,2032,TM13275_Suwannee_O3,13275,43441517010478,Suwannee,Private,Family Forest,Slash pine,14.0109,thin_from_below,0.3500,78,5136.4795,25188.3005,True,25188.3005,
all_combined,2,2032,TM13275_Suwannee_O6,13275,43441517010478,Suwannee,Federal (NF),Federal,Slash pine,0.2224,selection_harvest,0.2000,78,5136.4795,228.4653,False,0.0000,owner_group
all_combined,2,2032,TM13419_Hamilton_O3,13419,43854353020004,Hamilton,Private,Family Forest,Mixed upland hardwoods,0.2224,thin_from_below,0.3500,18,1799.0292,140.0332,False,0.0000,owner_group
all_combined,2,2032,TM13422_Columbia_O8,13422,43854450020004,Columbia,Other public,Local,Slash pine,0.4448,selection_harvest,0.2000,37,3827.5305,340.4892,False,0.0000,county
all_combined,2,2032,TM13422_Hamilton_O3,13422,43854450020004,Hamilton,Private,Family Forest,Slash pine,0.2224,thin_from_below,0.3500,37,3827.5305,297.9281,True,297.9281,
all_combined,2,2032,TM13422_Suwannee_O3,13422,43854450020004,Suwannee,Private,Family Forest,Slash pine,25.3530,thin_from_below,0.3500,37,3827.5305,33963.7997,True,33963.7997,
all_combined,2,2032,TM13429_Hamilton_O3,13429,43854857020004,Hamilton,Private,Family Forest,Slash pine,36.6951,thin_from_below,0.3500,36,5274.6821,67744.3366,True,67744.3366,
all_combined,2,2032,TM13431_Hamilton_O3,13431,43854884020004,Hamilton,Private,Family Forest,Sweetbay / swamp tupelo / red maple,2.8911,thin_from_below,0.3500,76,3235.2871,3273.7758,True,3273.7758,
all_combined,2,2032,TM13431_Suwannee_O3,13431,43854884020004,Suwannee,Private,Family Forest,Sweetbay / swamp tupelo / red maple,0.4448,thin_from_below,0.3500,76,3235.2871,503.6578,True,503.6578,
all_combined,2,2032,TM13432_Columbia_O3,13432,43854936020004,Columbia,Private,Family Forest,Sweetgum / yellow-poplar,60.4914,thin_from_below,0.3500,94,2276.8462,48205.3627,True,48205.3627,
all_combined,2,2032,TM13432_Columbia_O7,13432,43854936020004,Columbia,Other public,State,Sweetgum / yellow-poplar,0.6672,selection_harvest,0.2000,94,2276.8462,303.8153,True,303.8153,
all_combined,2,2032,TM13432_Columbia_O8,13432,43854936020004,Columbia,Other public,Local,Sweetgum / yellow-poplar,5.1151,selection_harvest,0.2000,94,2276.8462,2329.2507,True,2329.2507,
all_combined,2,2032,TM13432_Hamilton_O3,13432,43854936020004,Hamilton,Private,Family Forest,Sweetgum / yellow-poplar,17.7916,thin_from_below,0.3500,94,2276.8462,14178.0479,True,14178.0479,
all_combined,2,2032,TM13432_Hamilton_O6,13432,43854936020004,Hamilton,Federal (NF),Federal,Sweetgum / yellow-poplar,0.2224,selection_harvest,0.2000,94,2276.8462,101.2718,True,101.2718,
all_combined,2,2032,TM13432_Suwannee_O3,13432,43854936020004,Suwannee,Private,Family Forest,Sweetgum / yellow-poplar,140.1088,thin_from_below,0.3500,94,2276.8462,111652.1269,True,111652.1269,
all_combined,2,2032,TM13432_Suwannee_O7,13432,43854936020004,Suwannee,Other public,State,Sweetgum / yellow-poplar,3.1135,selection_harvest,0.2000,94,2276.8462,1417.8048,True,1417.8048,
all_combined,2,2032,TM13432_Suwannee_O8,13432,43854936020004,Suwannee,Other public,Local,Sweetgum / yellow-poplar,0.6672,selection_harvest,0.2000,94,2276.8462,303.8153,True,303.8153,
all_combined,2,2032,TM13432_Union_O3,13432,43854936020004,Union,Private,Family Forest,Sweetgum / yellow-poplar,4.6703,thin_from_below,0.3500,94,2276.8462,3721.7376,True,3721.7376,
all_combined,2,2032,TM13435_Baker_O3,13435,43855081020004,Baker,Private,Family Forest,Slash pine,49.3717,thin_from_below,0.3500,25,2589.3518,44744.2046,False,0.0000,county
all_combined,2,2032,TM13435_Columbia_O3,13435,43855081020004,Columbia,Private,Family Forest,Slash pine,868.6743,thin_from_below,0.3500,25,2589.3518,787256.1408,False,0.0000,county
