cycle,units_harvested,volume_removed,scenario,demand_volume,units_candidate,total_cycle_cap,cap_utilization
2,1848,360272811.1650,total_only,708358278.1984,3690,360272812.5000,1.0000
3,638,171441981.4701,total_only,171441981.4701,638,360272812.5000,0.4759
4,1903,129213827.3481,total_only,129213827.3481,1903,360272812.5000,0.3587
6,1706,360272807.6649,total_only,1016943507.4187,3453,360272812.5000,1.0000
8,1903,167180000.5970,total_only,167180000.5970,1903,360272812.5000,0.4640
2,2159,360272790.3800,county_only,708358278.1984,3690,360272812.5000,1.0000
3,638,171441981.4701,county_only,171441981.4701,638,360272812.5000,0.4759
4,1813,122016451.8702,county_only,129213827.3481,1903,360272812.5000,0.3387
6,1908,357500946.1744,county_only,1016943507.4187,3453,360272812.5000,0.9923
8,1662,133042582.2810,county_only,167180000.5970,1903,360272812.5000,0.3693
2,2265,360271239.8698,owner_only,708358278.1984,3690,360272812.5000,1.0000
3,638,171441981.4701,owner_only,171441981.4701,638,360272812.5000,0.4759
4,1016,28699674.3372,owner_only,129213827.3481,1903,360272812.5000,0.0797
6,1843,360271236.9104,owner_only,1016943507.4187,3453,360272812.5000,1.0000
8,939,28699647.3836,owner_only,167180000.5970,1903,360272812.5000,0.0797
2,2296,354692843.9278,all_combined,708358278.1984,3690,360272812.5000,0.9845
3,638,171441981.4701,all_combined,171441981.4701,638,360272812.5000,0.4759
4,1016,28699674.3372,all_combined,129213827.3481,1903,360272812.5000,0.0797
6,1911,357128536.0726,all_combined,1016943507.4187,3453,360272812.5000,0.9913
8,939,28699647.3836,all_combined,167180000.5970,1903,360272812.5000,0.0797
