scenario,cycle,key,demand_volume,volume_removed,units_harvested,dimension,cycle_cap,cap_utilization
all_combined,2,Baker,223892361.8370,58779369.5528,314,county,58779375.0000,1.0000
all_combined,2,Columbia,185294053.7980,88993436.6949,609,county,88993437.5000,1.0000
all_combined,2,Hamilton,97893997.9735,75457499.1596,502,county,76647187.5000,0.9845
all_combined,2,Suwanee,112422528.5781,87944420.4008,525,county,92334687.5000,0.9525
all_combined,2,Union,88855336.0118,43518118.1196,346,county,43518125.0000,1.0000
all_combined,3,Baker,44735940.7437,44735940.7437,144,county,58779375.0000,0.7611
all_combined,3,Columbia,44041494.0207,44041494.0207,163,county,88993437.5000,0.4949
all_combined,3,Hamilton,52590792.3964,52590792.3964,137,county,76647187.5000,0.6861
all_combined,3,Suwanee,23462846.2794,23462846.2794,117,county,92334687.5000,0.2541
all_combined,3,Union,6610908.0300,6610908.0300,77,county,43518125.0000,0.1519
all_combined,4,Baker,25152992.9159,1687556.9713,187,county,58779375.0000,0.0287
all_combined,4,Columbia,96190810.5831,22543018.2050,343,county,88993437.5000,0.2533
all_combined,4,Hamilton,2358793.9513,1429356.9223,174,county,76647187.5000,0.0186
all_combined,4,Suwanee,1458659.2164,760763.3535,172,county,92334687.5000,0.0082
all_combined,4,Union,4052570.6814,2278978.8852,140,county,43518125.0000,0.0524
all_combined,6,Baker,244998204.4231,58779341.8131,249,county,58779375.0000,1.0000
all_combined,6,Columbia,337196535.5754,88993422.6301,456,county,88993437.5000,1.0000
all_combined,6,Hamilton,269364681.9095,76647178.6608,303,county,76647187.5000,1.0000
all_combined,6,Suwanee,120454091.1438,92334654.0685,497,county,92334687.5000,1.0000
all_combined,6,Union,44929994.3670,40373938.9001,406,county,43518125.0000,0.9277
all_combined,8,Baker,33771361.4178,9507784.3332,182,county,58779375.0000,0.1618
all_combined,8,Columbia,123130841.3145,14667440.0503,318,county,88993437.5000,0.1648
all_combined,8,Hamilton,3156918.0482,1310747.0023,157,county,76647187.5000,0.0171
all_combined,8,Suwanee,1935591.4261,758481.3584,153,county,92334687.5000,0.0082
all_combined,8,Union,5185288.3904,2455194.6394,129,county,43518125.0000,0.0564
county_only,2,Baker,223892361.8370,58779371.4299,273,county,58779375.0000,1.0000
county_only,2,Columbia,185294053.7980,88993435.4238,540,county,88993437.5000,1.0000
county_only,2,Hamilton,97893997.9735,76647182.8412,477,county,76647187.5000,1.0000
county_only,2,Suwanee,112422528.5781,92334682.5655,523,county,92334687.5000,1.0000
county_only,2,Union,88855336.0118,43518118.1196,346,county,43518125.0000,1.0000
county_only,3,Baker,44735940.7437,44735940.7437,144,county,58779375.0000,0.7611
county_only,3,Columbia,44041494.0207,44041494.0207,163,county,88993437.5000,0.4949
county_only,3,Hamilton,52590792.3964,52590792.3964,137,county,76647187.5000,0.6861
county_only,3,Suwanee,23462846.2794,23462846.2794,117,county,92334687.5000,0.2541
county_only,3,Union,6610908.0300,6610908.0300,77,county,43518125.0000,0.1519
county_only,4,Baker,25152992.9159,25152992.9159,377,county,58779375.0000,0.4279
county_only,4,Columbia,96190810.5831,88993435.1052,618,county,88993437.5000,1.0000
county_only,4,Hamilton,2358793.9513,2358793.9513,309,county,76647187.5000,0.0308
county_only,4,Suwanee,1458659.2164,1458659.2164,303,county,92334687.5000,0.0158
county_only,4,Union,4052570.6814,4052570.6814,206,county,43518125.0000,0.0931
county_only,6,Baker,244998204.4231,58779368.8431,257,county,58779375.0000,1.0000
county_only,6,Columbia,337196535.5754,88993420.6310,354,county,88993437.5000,1.0000
county_only,6,Hamilton,269364681.9095,76647177.2939,347,county,76647187.5000,1.0000
county_only,6,Suwanee,120454091.1438,92334658.6859,538,county,92334687.5000,1.0000
county_only,6,Union,44929994.3670,40746320.7204,412,county,43518125.0000,0.9363
county_only,8,Baker,33771361.4178,33771361.4178,377,county,58779375.0000,0.5745
county_only,8,Columbia,123130841.3145,88993422.9984,467,county,88993437.5000,1.0000
county_only,8,Hamilton,3156918.0482,3156918.0482,309,county,76647187.5000,0.0412
county_only,8,Suwanee,1935591.4261,1935591.4261,303,county,92334687.5000,0.0210
county_only,8,Union,5185288.3904,5185288.3904,206,county,43518125.0000,0.1192
owner_only,2,Baker,223892361.8370,127061119.5857,442,county,58779375.0000,2.1617
owner_only,2,Columbia,185294053.7980,80491049.2852,650,county,88993437.5000,0.9045
owner_only,2,Hamilton,97893997.9735,48989558.1287,392,county,76647187.5000,0.6392
owner_only,2,Suwanee,112422528.5781,60239617.9008,418,county,92334687.5000,0.6524
owner_only,2,Union,88855336.0118,43489894.9694,363,county,43518125.0000,0.9994
owner_only,3,Baker,44735940.7437,44735940.7437,144,county,58779375.0000,0.7611
owner_only,3,Columbia,44041494.0207,44041494.0207,163,county,88993437.5000,0.4949
owner_only,3,Hamilton,52590792.3964,52590792.3964,137,county,76647187.5000,0.6861
owner_only,3,Suwanee,23462846.2794,23462846.2794,117,county,92334687.5000,0.2541
owner_only,3,Union,6610908.0300,6610908.0300,77,county,43518125.0000,0.1519
owner_only,4,Baker,25152992.9159,1687556.9713,187,county,58779375.0000,0.0287
owner_only,4,Columbia,96190810.5831,22543018.2050,343,county,88993437.5000,0.2533
owner_only,4,Hamilton,2358793.9513,1429356.9223,174,county,76647187.5000,0.0186
owner_only,4,Suwanee,1458659.2164,760763.3535,172,county,92334687.5000,0.0082
owner_only,4,Union,4052570.6814,2278978.8852,140,county,43518125.0000,0.0524
owner_only,6,Baker,244998204.4231,84775478.5867,390,county,58779375.0000,1.4423
owner_only,6,Columbia,337196535.5754,112569482.6540,551,county,88993437.5000,1.2649
owner_only,6,Hamilton,269364681.9095,93240840.3206,338,county,76647187.5000,1.2165
owner_only,6,Suwanee,120454091.1438,49347573.3854,317,county,92334687.5000,0.5344
owner_only,6,Union,44929994.3670,20337861.9637,247,county,43518125.0000,0.4673
owner_only,8,Baker,33771361.4178,9507784.3332,182,county,58779375.0000,0.1618
owner_only,8,Columbia,123130841.3145,14667440.0503,318,county,88993437.5000,0.1648
owner_only,8,Hamilton,3156918.0482,1310747.0023,157,county,76647187.5000,0.0171
owner_only,8,Suwanee,1935591.4261,758481.3584,153,county,92334687.5000,0.0082
owner_only,8,Union,5185288.3904,2455194.6394,129,county,43518125.0000,0.0564
total_only,2,Baker,223892361.8370,129768993.1640,384,county,58779375.0000,2.2077
total_only,2,Columbia,185294053.7980,101418573.3027,566,county,88993437.5000,1.1396
total_only,2,Hamilton,97893997.9735,45653466.4667,319,county,76647187.5000,0.5956
total_only,2,Suwanee,112422528.5781,45834140.1310,316,county,92334687.5000,0.4964
total_only,2,Union,88855336.0118,37597638.1005,263,county,43518125.0000,0.8640
total_only,3,Baker,44735940.7437,44735940.7437,144,county,58779375.0000,0.7611
total_only,3,Columbia,44041494.0207,44041494.0207,163,county,88993437.5000,0.4949
total_only,3,Hamilton,52590792.3964,52590792.3964,137,county,76647187.5000,0.6861
total_only,3,Suwanee,23462846.2794,23462846.2794,117,county,92334687.5000,0.2541
total_only,3,Union,6610908.0300,6610908.0300,77,county,43518125.0000,0.1519
total_only,4,Baker,25152992.9159,25152992.9159,377,county,58779375.0000,0.4279
total_only,4,Columbia,96190810.5831,96190810.5831,708,county,88993437.5000,1.0809
total_only,4,Hamilton,2358793.9513,2358793.9513,309,county,76647187.5000,0.0308
total_only,4,Suwanee,1458659.2164,1458659.2164,303,county,92334687.5000,0.0158
total_only,4,Union,4052570.6814,4052570.6814,206,county,43518125.0000,0.0931
total_only,6,Baker,244998204.4231,85732325.8039,374,county,58779375.0000,1.4585
total_only,6,Columbia,337196535.5754,146513419.0289,546,county,88993437.5000,1.6463
total_only,6,Hamilton,269364681.9095,75639335.7690,307,county,76647187.5000,0.9869
total_only,6,Suwanee,120454091.1438,35863699.3783,283,county,92334687.5000,0.3884
total_only,6,Union,44929994.3670,16524027.6848,196,county,43518125.0000,0.3797
total_only,8,Baker,33771361.4178,33771361.4178,377,county,58779375.0000,0.5745
total_only,8,Columbia,123130841.3145,123130841.3145,708,county,88993437.5000,1.3836
total_only,8,Hamilton,3156918.0482,3156918.0482,309,county,76647187.5000,0.0412
total_only,8,Suwanee,1935591.4261,1935591.4261,303,county,92334687.5000,0.0210
total_only,8,Union,5185288.3904,5185288.3904,206,county,43518125.0000,0.1192
all_combined,2,Federal (NF),81930485.7755,8849997.3587,70,owner_group,8850000.0000,1.0000
all_combined,2,Other public,21684317.6564,14271287.9745,1073,owner_group,19849687.5000,0.7190
all_combined,2,Private,604743474.7666,331571558.5946,1153,owner_group,331571562.5000,1.0000
all_combined,3,Private,171441981.4701,171441981.4701,638,owner_group,331571562.5000,0.5171
all_combined,4,Federal (NF),101622571.9815,8849997.7121,47,owner_group,8850000.0000,1.0000
all_combined,4,Other public,27591255.3666,19849676.6251,969,owner_group,19849687.5000,1.0000
all_combined,6,Federal (NF),118065315.6247,8849997.5771,68,owner_group,8850000.0000,1.0000
all_combined,6,Other public,32074118.7376,16706985.9826,907,owner_group,19849687.5000,0.8417
all_combined,6,Private,866804073.0564,331571552.5128,936,owner_group,331571562.5000,1.0000
all_combined,8,Federal (NF),131608506.5096,8849997.3404,57,owner_group,8850000.0000,1.0000
all_combined,8,Other public,35571494.0874,19849650.0431,882,owner_group,19849687.5000,1.0000
county_only,2,Federal (NF),81930485.7755,39530678.9418,273,owner_group,8850000.0000,4.4667
county_only,2,Other public,21684317.6564,10833459.6159,835,owner_group,19849687.5000,0.5458
county_only,2,Private,604743474.7666,309908651.8223,1051,owner_group,331571562.5000,0.9347
county_only,3,Private,171441981.4701,171441981.4701,638,owner_group,331571562.5000,0.5171
county_only,4,Federal (NF),101622571.9815,95882241.4073,467,owner_group,8850000.0000,10.8342
county_only,4,Other public,27591255.3666,26134210.4630,1346,owner_group,19849687.5000,1.3166
county_only,6,Federal (NF),118065315.6247,45567671.7928,220,owner_group,8850000.0000,5.1489
county_only,6,Other public,32074118.7376,13354788.5544,816,owner_group,19849687.5000,0.6728
county_only,6,Private,866804073.0564,298578485.8273,872,owner_group,331571562.5000,0.9005
county_only,8,Federal (NF),131608506.5096,106979490.7726,417,owner_group,8850000.0000,12.0881
county_only,8,Other public,35571494.0874,26063091.5084,1245,owner_group,19849687.5000,1.3130
owner_only,2,Federal (NF),81930485.7755,8849997.3587,70,owner_group,8850000.0000,1.0000
owner_only,2,Other public,21684317.6564,19849685.5873,1169,owner_group,19849687.5000,1.0000
owner_only,2,Private,604743474.7666,331571556.9237,1026,owner_group,331571562.5000,1.0000
owner_only,3,Private,171441981.4701,171441981.4701,638,owner_group,331571562.5000,0.5171
owner_only,4,Federal (NF),101622571.9815,8849997.7121,47,owner_group,8850000.0000,1.0000
owner_only,4,Other public,27591255.3666,19849676.6251,969,owner_group,19849687.5000,1.0000
owner_only,6,Federal (NF),118065315.6247,8849997.5771,68,owner_group,8850000.0000,1.0000
owner_only,6,Other public,32074118.7376,19849678.8342,906,owner_group,19849687.5000,1.0000
owner_only,6,Private,866804073.0564,331571560.4991,869,owner_group,331571562.5000,1.0000
owner_only,8,Federal (NF),131608506.5096,8849997.3404,57,owner_group,8850000.0000,1.0000
owner_only,8,Other public,35571494.0874,19849650.0431,882,owner_group,19849687.5000,1.0000
total_only,2,Federal (NF),81930485.7755,53331336.0203,260,owner_group,8850000.0000,6.0261
total_only,2,Other public,21684317.6564,9625612.1129,703,owner_group,19849687.5000,0.4849
total_only,2,Private,604743474.7666,297315863.0317,885,owner_group,331571562.5000,0.8967
total_only,3,Private,171441981.4701,171441981.4701,638,owner_group,331571562.5000,0.5171
total_only,4,Federal (NF),101622571.9815,101622571.9815,503,owner_group,8850000.0000,11.4828
total_only,4,Other public,27591255.3666,27591255.3666,1400,owner_group,19849687.5000,1.3900
total_only,6,Federal (NF),118065315.6247,73438117.1330,257,owner_group,8850000.0000,8.2981
total_only,6,Other public,32074118.7376,12909215.3861,697,owner_group,19849687.5000,0.6503
