PLT_CN,prescription,template,entry_years,n_entries,cuts,regen_slot,stand_age,units,acres,owner_classes,counties,si_expanded_runs,keyfile_sha256_16
134677819010854,family_light_thin,thin_from_below,2032,1,True,,15.0,2,130.54577302910343,private_family,Columbia;Union,3,bc8feac4163d68a7
134677819010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,15.0,2,130.54577302910343,private_family,Columbia;Union,3,d3be79d26dba0be9
134677819010854,no_management,no_management,,0,False,,15.0,6,186.14448385921565,local;private_family;private_industrial,Baker;Columbia;Union,3,84f6c944677a72ff
134677819010854,pine_plantation_long_rotation,plantation_rotation,2027;2042,2,True,planted_pine_regen,15.0,5,182.14137667944757,private_family;private_industrial,Baker;Columbia;Union,3,84a364a1a701556e
134677819010854,pine_plantation_short_rotation,plantation_rotation,2027;2032,2,True,planted_pine_regen,15.0,3,51.59560365034412,private_industrial,Baker;Columbia;Union,3,2b2c5c8a57762a16
134677819010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,15.0,1,4.003107179768078,local,Union,3,0326d4c185495889
134677819010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,15.0,1,4.003107179768078,local,Union,3,5073dd93d32ddd18
134677831010854,family_light_thin,thin_from_below,2032,1,True,,22.0,3,1.5567639032431415,private_family,Baker;Columbia;Suwannee,3,12a50a2d3e660e36
134677831010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,22.0,3,1.5567639032431415,private_family,Baker;Columbia;Suwannee,3,875c3f870f8ce3b2
134677831010854,no_management,no_management,,0,False,,22.0,4,1.7791587465635903,private_family;private_industrial,Baker;Columbia;Suwannee,3,103f6237c1b00401
134677831010854,pine_plantation_long_rotation,plantation_rotation,2027;2037,2,True,planted_pine_regen,22.0,4,1.7791587465635903,private_family;private_industrial,Baker;Columbia;Suwannee,3,1ea16e1c869904ec
134677831010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,22.0,1,0.2223948433204488,private_industrial,Suwannee,3,f8656310da535bbd
134678539010854,family_light_thin,thin_from_below,2032,1,True,,25.0,2,15.790033875751863,private_family,Columbia;Suwannee,3,a0e0cd0a89259d6e
134678539010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,25.0,2,15.790033875751863,private_family,Columbia;Suwannee,3,9a7c8c8328283481
134678539010854,no_management,no_management,,0,False,,25.0,5,18.01398230895635,local;private_family;private_industrial,Columbia;Suwannee,3,0ea8da270aea03d7
134678539010854,pine_plantation_long_rotation,plantation_rotation,2027;2032,2,True,planted_pine_regen,25.0,4,17.791587465635903,private_family;private_industrial,Columbia;Suwannee,3,cee56633db489bd9
134678539010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,25.0,2,2.001553589884039,private_industrial,Columbia;Suwannee,3,948e53a38d891c71
134678539010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,25.0,1,0.2223948433204488,local,Columbia,3,11c8209ddf40928b
134678539010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,25.0,1,0.2223948433204488,local,Columbia,3,fb6439c43ea9eacf
140561558010478,no_management,no_management,,0,False,,33.0,1,1.5567639032431415,private_industrial,Baker,3,9c13ff822de010c1
140561558010478,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,33.0,1,1.5567639032431415,private_industrial,Baker,3,ec07d01a44dad3af
140561558010478,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,33.0,1,1.5567639032431415,private_industrial,Baker,3,ec07d01a44dad3af
140564077010478,family_light_thin,thin_from_below,2032,1,True,,55.0,5,5949.506848508646,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,7a243db16f35701a
140564077010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,55.0,5,5949.506848508646,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,490622128a1452ca
140564077010478,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,55.0,4,3162.8994617034227,private_industrial,Baker;Columbia;Hamilton;Suwannee,3,37062f4a407fa34e
140564077010478,no_management,no_management,,0,False,,55.0,17,10234.388294763732,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,7f5479b38c853d65
140564077010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,55.0,8,1121.981984551664,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,b92e27b9f58a7cb0
140564077010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,55.0,8,1121.981984551664,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,ee1574b32534f0ea
140566167010478,family_light_thin,thin_from_below,2032,1,True,,84.0,4,190.36998588230415,private_family,Baker;Columbia;Suwannee;Union,3,e1758f7ddb795376
140566167010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,84.0,4,190.36998588230415,private_family,Baker;Columbia;Suwannee;Union,3,476a22e6dd826756
140566167010478,no_management,no_management,,0,False,,84.0,15,283.77582007689267,federal;local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,0c41b8ad0788efe5
140566167010478,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,84.0,10,228.17710924678045,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,dfedb4cbb9acad10
140566167010478,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,84.0,4,37.362333677835394,private_industrial,Baker;Columbia;Suwannee;Union,3,dfedb4cbb9acad10
140566167010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,84.0,7,56.0435005167531,federal;local;state,Baker;Columbia;Suwannee;Union,3,2b39eae40d5bc03e
140566167010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,84.0,7,56.0435005167531,federal;local;state,Baker;Columbia;Suwannee;Union,3,f0937bcb0ed88912
140568302010478,family_light_thin,thin_from_below,2032,1,True,,28.0,5,1828.53040178073,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,5d26043d8ac1f982
140568302010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,28.0,5,1828.53040178073,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,db7bbe8d11dca709
140568302010478,hardwood_clearcut_regen,clearcut,2047,1,True,hardwood_regen,28.0,5,588.0119657392665,private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,86eb03e855333116
140568302010478,no_management,no_management,,0,False,,28.0,22,2550.201668355586,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,980dbc41d5049f36
140568302010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,28.0,12,133.65930083558973,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,37845c02d8d596f3
140568302010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,28.0,12,133.65930083558973,federal;local;state,Baker;Columbia;Hamilton;Suwannee,3,b62c899f24289116
140582800010478,family_light_thin,thin_from_below,2032,1,True,,24.0,4,279.10552836716323,private_family,Baker;Columbia;Suwannee;Union,3,c9de3a5014c87c1c
140582800010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,24.0,4,279.10552836716323,private_family,Baker;Columbia;Suwannee;Union,3,a412db970bcb6a70
140582800010478,no_management,no_management,,0,False,,24.0,10,335.3714237272368,local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,ef7d21fa4b45b94d
140582800010478,pine_plantation_long_rotation,plantation_rotation,2027;2037,2,True,planted_pine_regen,24.0,9,327.5876042110211,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,30a992681da07d69
140582800010478,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,24.0,4,47.14770678393514,private_industrial,Baker;Columbia;Suwannee;Union,3,8267ec2438c3e374
140582800010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,24.0,2,9.118188576138401,local;state,Columbia,3,97a1f54c46e53a08
140582800010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,24.0,2,9.118188576138401,local;state,Columbia,3,1a37783dbeecd933
140593174010478,family_light_thin,thin_from_below,2032,1,True,,115.0,5,2.6687381198453854,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,832e3a65030d9f21
140593174010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,115.0,5,2.6687381198453854,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,b3567777cac51909
140593174010478,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,115.0,1,0.2223948433204488,private_industrial,Baker,3,5df77050fc50c731
140593174010478,no_management,no_management,,0,False,,115.0,7,3.113527806486283,local;private_family;private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,d8bd59cf10d6ce28
140593174010478,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,115.0,1,0.2223948433204488,local,Columbia,3,d5d5b88403377061
140593174010478,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,115.0,1,0.2223948433204488,local,Columbia,3,797325a7b7970b2e
140599486010478,family_light_thin,thin_from_below,2032,1,True,,61.0,1,12.676506069265582,private_family,Baker,3,f113e61115f3d496
140599486010478,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,61.0,1,12.676506069265582,private_family,Baker,3,79ae90ff58e0c567
140599486010478,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,61.0,1,12.231716382624683,private_industrial,Baker,3,bf292b7515bccde3
140599486010478,no_management,no_management,,0,False,,61.0,2,24.908222451890264,private_family;private_industrial,Baker,3,53e92d75d8a98851
153666119010854,family_light_thin,thin_from_below,2032,1,True,,14.0,5,41.14304601428302,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,85c707bc4ebfcba0
153666119010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,14.0,5,41.14304601428302,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,96efac9da9dd4a0a
