owner_class,forest_branch,units,stands,acres,library_rows,menu_size
federal,hardwood,225,125,25417.506643094093,675,3
federal,other,56,28,10067.147372586756,168,3
federal,pine,222,126,104933.22610841731,666,3
local,hardwood,399,186,7665.9502492558695,1197,3
local,other,84,44,2702.9869257167347,252,3
local,pine,319,184,15984.851758500577,957,3
private_family,hardwood,892,287,204890.81238722624,2676,3
private_family,other,194,68,47951.66414253857,582,3
private_family,pine,701,273,313674.13802320714,2804,4
private_industrial,hardwood,748,265,59910.50205240906,1496,2
private_industrial,other,164,70,16423.4143895285,328,2
private_industrial,pine,638,271,106920.32403348552,1914,3
state,hardwood,296,149,2722.3352770856136,888,3
state,other,64,32,686.310486486905,192,3
state,pine,238,127,5146.661464121826,952,4
