unit_id,tm_id,PLT_CN,county,owner_class,owner_name,OWN_CODE,forest_branch,FORTYPCD,ForTypName,acres,stand_age,prescription,template,entry_years,n_entries,first_entry_year,last_entry_year,cuts,regen_slot,collapsed_to_no_management,notes,params
TM23747_Baker_O3,23747,173002836010854,Baker,private_family,Family Forest,3,pine,142,Slash pine,17178.222487758107,41.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM23747_Baker_O3,23747,173002836010854,Baker,private_family,Family Forest,3,pine,142,Slash pine,17178.222487758107,41.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM23747_Baker_O3,23747,173002836010854,Baker,private_family,Family Forest,3,pine,142,Slash pine,17178.222487758107,41.0,pine_plantation_long_rotation,clearcut,2027,1,2027.0,2027.0,True,planted_pine_regen,False,thin dropped: stand is at or past rotation age,year=2027
TM23747_Baker_O3,23747,173002836010854,Baker,private_family,Family Forest,3,pine,142,Slash pine,17178.222487758107,41.0,no_management,no_management,,0,,,False,,False,,
TM43151_Union_O3,43151,374861300489998,Union,private_family,Family Forest,3,pine,161,Loblolly pine,11335.465164043275,19.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM43151_Union_O3,43151,374861300489998,Union,private_family,Family Forest,3,pine,161,Loblolly pine,11335.465164043275,19.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM43151_Union_O3,43151,374861300489998,Union,private_family,Family Forest,3,pine,161,Loblolly pine,11335.465164043275,19.0,pine_plantation_long_rotation,plantation_rotation,2027;2042,2,2027.0,2042.0,True,planted_pine_regen,False,,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027
TM43151_Union_O3,43151,374861300489998,Union,private_family,Family Forest,3,pine,161,Loblolly pine,11335.465164043275,19.0,no_management,no_management,,0,,,False,,False,,
TM2743_Baker_O6,2743,20342987010478,Baker,federal,Federal,6,pine,142,Slash pine,11076.152776731631,96.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM2743_Baker_O6,2743,20342987010478,Baker,federal,Federal,6,pine,142,Slash pine,11076.152776731631,96.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM2743_Baker_O6,2743,20342987010478,Baker,federal,Federal,6,pine,142,Slash pine,11076.152776731631,96.0,no_management,no_management,,0,,,False,,False,,
TM23749_Columbia_O6,23749,173002845010854,Columbia,federal,Federal,6,pine,141,Longleaf pine,10774.362974345782,114.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM23749_Columbia_O6,23749,173002845010854,Columbia,federal,Federal,6,pine,141,Longleaf pine,10774.362974345782,114.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM23749_Columbia_O6,23749,173002845010854,Columbia,federal,Federal,6,pine,141,Longleaf pine,10774.362974345782,114.0,no_management,no_management,,0,,,False,,False,,
TM67523_Baker_O3,67523,718604718290487,Baker,private_family,Family Forest,3,pine,141,Longleaf pine,10288.430241690601,16.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM67523_Baker_O3,67523,718604718290487,Baker,private_family,Family Forest,3,pine,141,Longleaf pine,10288.430241690601,16.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM67523_Baker_O3,67523,718604718290487,Baker,private_family,Family Forest,3,pine,141,Longleaf pine,10288.430241690601,16.0,pine_plantation_long_rotation,plantation_rotation,2027;2042,2,2027.0,2042.0,True,planted_pine_regen,False,,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027
TM67523_Baker_O3,67523,718604718290487,Baker,private_family,Family Forest,3,pine,141,Longleaf pine,10288.430241690601,16.0,no_management,no_management,,0,,,False,,False,,
TM59428_Baker_O6,59428,533665395126144,Baker,federal,Federal,6,pine,142,Slash pine,10044.68549341139,36.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM59428_Baker_O6,59428,533665395126144,Baker,federal,Federal,6,pine,142,Slash pine,10044.68549341139,36.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM59428_Baker_O6,59428,533665395126144,Baker,federal,Federal,6,pine,142,Slash pine,10044.68549341139,36.0,no_management,no_management,,0,,,False,,False,,
TM64293_Suwannee_O3,64293,638333844126144,Suwannee,private_family,Family Forest,3,pine,161,Loblolly pine,8887.565123615095,5.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM64293_Suwannee_O3,64293,638333844126144,Suwannee,private_family,Family Forest,3,pine,161,Loblolly pine,8887.565123615095,5.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM64293_Suwannee_O3,64293,638333844126144,Suwannee,private_family,Family Forest,3,pine,161,Loblolly pine,8887.565123615095,5.0,pine_plantation_long_rotation,plantation_rotation,2037;2052,2,2037.0,2052.0,True,planted_pine_regen,False,,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2037
TM64293_Suwannee_O3,64293,638333844126144,Suwannee,private_family,Family Forest,3,pine,161,Loblolly pine,8887.565123615095,5.0,no_management,no_management,,0,,,False,,False,,
TM2743_Baker_O3,2743,20342987010478,Baker,private_family,Family Forest,3,pine,142,Slash pine,8688.076949156652,96.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM2743_Baker_O3,2743,20342987010478,Baker,private_family,Family Forest,3,pine,142,Slash pine,8688.076949156652,96.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM2743_Baker_O3,2743,20342987010478,Baker,private_family,Family Forest,3,pine,142,Slash pine,8688.076949156652,96.0,pine_plantation_long_rotation,clearcut,2027,1,2027.0,2027.0,True,planted_pine_regen,False,thin dropped: stand is at or past rotation age,year=2027
TM2743_Baker_O3,2743,20342987010478,Baker,private_family,Family Forest,3,pine,142,Slash pine,8688.076949156652,96.0,no_management,no_management,,0,,,False,,False,,
TM36962_Suwannee_O3,36962,289516223489998,Suwannee,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,8479.02579643543,72.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM36962_Suwannee_O3,36962,289516223489998,Suwannee,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,8479.02579643543,72.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM36962_Suwannee_O3,36962,289516223489998,Suwannee,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,8479.02579643543,72.0,no_management,no_management,,0,,,False,,False,,
TM59428_Baker_O3,59428,533665395126144,Baker,private_family,Family Forest,3,pine,142,Slash pine,7902.800757392148,36.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM59428_Baker_O3,59428,533665395126144,Baker,private_family,Family Forest,3,pine,142,Slash pine,7902.800757392148,36.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM59428_Baker_O3,59428,533665395126144,Baker,private_family,Family Forest,3,pine,142,Slash pine,7902.800757392148,36.0,pine_plantation_long_rotation,clearcut,2027,1,2027.0,2027.0,True,planted_pine_regen,False,thin dropped: stand is at or past rotation age,year=2027
