stand_id,corridor_id,county,owner_class,owner_name,pixels,acres,plots,majority_tm_id,PLT_CN
RIP1_Baker_O3,1,Baker,3,Family Forest,10,2.223948433204488,5,48634,448940584489998
RIP1_Baker_O6,1,Baker,6,Federal,2,0.4447896866408976,2,2743,20342987010478
RIP2_Baker_O3,2,Baker,3,Family Forest,5,1.111974216602244,2,59428,533665395126144
RIP3_Baker_O3,3,Baker,3,Family Forest,2,0.4447896866408976,2,48632,448940577489998
RIP3_Baker_O6,3,Baker,6,Federal,1,0.2223948433204488,1,48632,448940577489998
RIP4_Baker_O3,4,Baker,3,Family Forest,54,12.009321539304235,7,59428,533665395126144
RIP5_Baker_O3,5,Baker,3,Family Forest,4,0.8895793732817951,2,48632,448940577489998
RIP5_Baker_O6,5,Baker,6,Federal,9,2.001553589884039,2,50207,451136981489998
RIP6_Baker_O3,6,Baker,3,Family Forest,4,0.8895793732817951,1,50207,451136981489998
RIP6_Baker_O6,6,Baker,6,Federal,1,0.2223948433204488,1,50207,451136981489998
RIP7_Baker_O3,7,Baker,3,Family Forest,1,0.2223948433204488,1,50207,451136981489998
RIP8_Baker_O3,8,Baker,3,Family Forest,38,8.451004046177054,11,48632,448940577489998
RIP9_Baker_O3,9,Baker,3,Family Forest,16,3.5583174931271806,5,50207,451136981489998
RIP10_Baker_O6,10,Baker,6,Federal,9,2.001553589884039,3,59428,533665395126144
RIP11_Baker_O6,11,Baker,6,Federal,11,2.446343276524937,3,43181,374861410489998
RIP12_Baker_O6,12,Baker,6,Federal,1,0.2223948433204488,1,16547,61264238010478
RIP13_Baker_O6,13,Baker,6,Federal,4,0.8895793732817951,1,59428,533665395126144
RIP14_Baker_O3,14,Baker,3,Family Forest,4,0.8895793732817951,3,32408,236497707010854
RIP14_Baker_O6,14,Baker,6,Federal,5,1.111974216602244,4,32408,236497707010854
RIP15_Baker_O6,15,Baker,6,Federal,4,0.8895793732817951,1,59428,533665395126144
RIP16_Baker_O6,16,Baker,6,Federal,5,1.111974216602244,3,59428,533665395126144
RIP17_Baker_O3,17,Baker,3,Family Forest,82,18.236377152276802,7,48477,448939744489998
RIP17_Baker_O6,17,Baker,6,Federal,26,5.782265926331668,3,50183,451136888489998
RIP18_Baker_O3,18,Baker,3,Family Forest,44,9.785373106099748,5,48632,448940577489998
RIP19_Baker_O3,19,Baker,3,Family Forest,1,0.2223948433204488,1,63999,635664107126144
RIP20_Baker_O6,20,Baker,6,Federal,70,15.567639032431416,6,59428,533665395126144
RIP21_Baker_O4,21,Baker,4,Corporate/Other Private,2,0.4447896866408976,2,48632,448940577489998
RIP22_Baker_O6,22,Baker,6,Federal,1,0.2223948433204488,1,63999,635664107126144
RIP23_Baker_O6,23,Baker,6,Federal,17,3.780712336447629,4,59428,533665395126144
RIP24_Baker_O6,24,Baker,6,Federal,10,2.223948433204488,3,59428,533665395126144
RIP25_Baker_O6,25,Baker,6,Federal,10,2.223948433204488,5,36935,289515947489998
RIP26_Baker_O4,26,Baker,4,Corporate/Other Private,1,0.2223948433204488,1,59428,533665395126144
RIP27_Baker_O6,27,Baker,6,Federal,11,2.446343276524937,5,59428,533665395126144
RIP28_Baker_O4,28,Baker,4,Corporate/Other Private,1,0.2223948433204488,1,59428,533665395126144
RIP29_Baker_O3,29,Baker,3,Family Forest,1,0.2223948433204488,1,64448,638334723126144
RIP30_Baker_O6,30,Baker,6,Federal,4,0.8895793732817951,2,63999,635664107126144
RIP31_Baker_O6,31,Baker,6,Federal,1,0.2223948433204488,1,59213,533664592126144
RIP32_Baker_O3,32,Baker,3,Family Forest,1,0.2223948433204488,1,48632,448940577489998
RIP33_Baker_O6,33,Baker,6,Federal,7,1.5567639032431415,2,59421,533665369126144
