unit_id,tm_id,PLT_CN,county,owner_name,owner_class,FORTYPCD,ForTypName,pixel_count,acres,smz_pixels,smz_acres,SMZ_Pct,stand_age
TM36736_Baker_O4,36736,289514938489998,Baker,Corporate/Other Private,4,607,Baldcypress / water tupelo,1,0.2223948433204488,1.0,0.2223948433204488,100.0,141
TM21259_Hamilton_O7,21259,140564077010478,Hamilton,State,7,608,Sweetbay / swamp tupelo / red maple,1,0.2223948433204488,1.0,0.2223948433204488,100.0,55
TM48549_Columbia_O4,48549,448940134489998,Columbia,Corporate/Other Private,4,142,Slash pine,1,0.2223948433204488,1.0,0.2223948433204488,100.0,13
TM17787_Baker_O8,17787,85172032010478,Baker,Local,8,608,Sweetbay / swamp tupelo / red maple,1,0.2223948433204488,1.0,0.2223948433204488,100.0,56
TM67504_Suwannee_O8,67504,718604453290487,Suwannee,Local,8,520,Mixed upland hardwoods,2,0.4447896866408976,2.0,0.4447896866408976,100.0,40
TM48492_Union_O4,48492,448939790489998,Union,Corporate/Other Private,4,166,Pond pine,1,0.2223948433204488,1.0,0.2223948433204488,100.0,81
TM2683_Union_O3,2683,20220154010478,Union,Family Forest,3,407,Slash pine / hardwood,1,0.2223948433204488,1.0,0.2223948433204488,100.0,24
TM48503_Union_O8,48503,448939827489998,Union,Local,8,609,Baldcypress / pondcypress,1,0.2223948433204488,1.0,0.2223948433204488,100.0,100
TM24484_Union_O4,24484,176859634010854,Union,Corporate/Other Private,4,608,Sweetbay / swamp tupelo / red maple,1,0.2223948433204488,1.0,0.2223948433204488,100.0,68
TM31057_Columbia_O8,31057,218219380020004,Columbia,Local,8,409,Other pine / hardwood,1,0.2223948433204488,1.0,0.2223948433204488,100.0,55
TM66954_Baker_O3,66954,718561137290487,Baker,Family Forest,3,161,Loblolly pine,1,0.2223948433204488,1.0,0.2223948433204488,100.0,9
TM50179_Hamilton_O8,50179,451136876489998,Hamilton,Local,8,608,Sweetbay / swamp tupelo / red maple,13,2.891132963165834,9.0,2.001553589884039,69.23076923076923,55
TM13432_Columbia_O7,13432,43854936020004,Columbia,State,7,508,Sweetgum / yellow-poplar,3,0.6671845299613464,2.0,0.4447896866408976,66.66666666666667,81
TM50183_Suwannee_O3,50183,451136888489998,Suwannee,Family Forest,3,608,Sweetbay / swamp tupelo / red maple,3,0.6671845299613464,2.0,0.4447896866408976,66.66666666666667,52
TM18437_Baker_O4,18437,90825681010478,Baker,Corporate/Other Private,4,517,Elm / ash / black locust,3,0.6671845299613464,2.0,0.4447896866408976,66.66666666666667,75
TM43326_Suwannee_O4,43326,374862340489998,Suwannee,Corporate/Other Private,4,608,Sweetbay / swamp tupelo / red maple,11,2.446343276524937,7.0,1.5567639032431415,63.63636363636363,45
TM64290_Union_O3,64290,638333840126144,Union,Family Forest,3,608,Sweetbay / swamp tupelo / red maple,5,1.111974216602244,3.0,0.6671845299613464,60.0,55
TM18437_Baker_O3,18437,90825681010478,Baker,Family Forest,3,517,Elm / ash / black locust,7,1.5567639032431415,4.0,0.8895793732817951,57.142857142857146,75
TM43163_Union_O8,43163,374861344489998,Union,Local,8,403,Longleaf pine / oak,2,0.4447896866408976,1.0,0.2223948433204488,50.0,79
TM13431_Suwannee_O3,13431,43854884020004,Suwannee,Family Forest,3,608,Sweetbay / swamp tupelo / red maple,2,0.4447896866408976,1.0,0.2223948433204488,50.0,63
TM64226_Baker_O7,64226,635664945126144,Baker,State,7,142,Slash pine,2,0.4447896866408976,1.0,0.2223948433204488,50.0,60
TM67532_Hamilton_O3,67532,718604871290487,Hamilton,Family Forest,3,407,Slash pine / hardwood,4,0.8895793732817951,2.0,0.4447896866408976,50.0,7
TM21269_Baker_O3,21269,140582800010478,Baker,Family Forest,3,142,Slash pine,2,0.4447896866408976,1.0,0.2223948433204488,50.0,24
TM43187_Hamilton_O6,43187,374861459489998,Hamilton,Federal,6,406,Loblolly pine / hardwood,2,0.4447896866408976,1.0,0.2223948433204488,50.0,63
TM48557_Union_O4,48557,448940171489998,Union,Corporate/Other Private,4,142,Slash pine,2,0.4447896866408976,1.0,0.2223948433204488,50.0,24
TM63999_Columbia_O3,63999,635664107126144,Columbia,Family Forest,3,995,Other exotic hardwoods,2,0.4447896866408976,1.0,0.2223948433204488,50.0,20
TM67057_Hamilton_O7,67057,718561522290487,Hamilton,State,7,602,Sweetgum / Nuttall oak / willow oak,2,0.4447896866408976,1.0,0.2223948433204488,50.0,70
TM43225_Baker_O7,43225,374861608489998,Baker,State,7,520,Mixed upland hardwoods,2,0.4447896866408976,1.0,0.2223948433204488,50.0,51
TM16549_Union_O7,16549,61280243010478,Union,State,7,501,Post oak / blackjack oak,2,0.4447896866408976,1.0,0.2223948433204488,50.0,31
TM43336_Baker_O4,43336,374862361489998,Baker,Corporate/Other Private,4,141,Longleaf pine,4,0.8895793732817951,2.0,0.4447896866408976,50.0,70
TM67462_Hamilton_O6,67462,718604233290487,Hamilton,Federal,6,608,Sweetbay / swamp tupelo / red maple,13,2.891132963165834,6.0,1.3343690599226927,46.15384615384615,18
TM2739_Union_O8,2739,20336120010478,Union,Local,8,520,Mixed upland hardwoods,20,4.447896866408976,8.0,1.7791587465635903,40.0,75
TM63999_Baker_O6,63999,635664107126144,Baker,Federal,6,995,Other exotic hardwoods,10,2.223948433204488,4.0,0.8895793732817951,40.0,20
TM45395_Baker_O8,45395,386107026489998,Baker,Local,8,608,Sweetbay / swamp tupelo / red maple,21,4.670291709729424,8.0,1.7791587465635903,38.095238095238095,20
TM67238_Columbia_O6,67238,718562171290487,Columbia,Federal,6,602,Sweetgum / Nuttall oak / willow oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,103
TM67423_Baker_O4,67423,718604068290487,Baker,Corporate/Other Private,4,602,Sweetgum / Nuttall oak / willow oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,60
TM36861_Union_O3,36861,289515533489998,Union,Family Forest,3,609,Baldcypress / pondcypress,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,17
TM50098_Hamilton_O3,50098,451136592489998,Hamilton,Family Forest,3,602,Sweetgum / Nuttall oak / willow oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,26
TM35385_Baker_O7,35385,259178448010854,Baker,State,7,407,Slash pine / hardwood,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,48
TM67372_Hamilton_O6,67372,718603850290487,Hamilton,Federal,6,608,Sweetbay / swamp tupelo / red maple,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,31
TM31047_Hamilton_O4,31047,218218851020004,Hamilton,Corporate/Other Private,4,514,Southern scrub oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,17
TM36738_Columbia_O8,36738,289514941489998,Columbia,Local,8,142,Slash pine,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,31
TM67427_Hamilton_O3,67427,718604085290487,Hamilton,Family Forest,3,602,Sweetgum / Nuttall oak / willow oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,30
TM67161_Baker_O4,67161,718561923290487,Baker,Corporate/Other Private,4,161,Loblolly pine,6,1.3343690599226927,2.0,0.4447896866408976,33.333333333333336,36
TM50098_Baker_O7,50098,451136592489998,Baker,State,7,602,Sweetgum / Nuttall oak / willow oak,9,2.001553589884039,3.0,0.6671845299613464,33.333333333333336,26
TM51531_Columbia_O3,51531,461362822489998,Columbia,Family Forest,3,161,Loblolly pine,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,36
TM43237_Hamilton_O7,43237,374861690489998,Hamilton,State,7,602,Sweetgum / Nuttall oak / willow oak,3,0.6671845299613464,1.0,0.2223948433204488,33.333333333333336,60
TM32408_Baker_O8,32408,236497707010854,Baker,Local,8,608,Sweetbay / swamp tupelo / red maple,18,4.003107179768078,6.0,1.3343690599226927,33.333333333333336,49
TM64479_Union_O8,64479,638335018126144,Union,Local,8,161,Loblolly pine,9,2.001553589884039,3.0,0.6671845299613464,33.333333333333336,54
TM43054_Union_O4,43054,374860913489998,Union,Corporate/Other Private,4,602,Sweetgum / Nuttall oak / willow oak,12,2.6687381198453854,4.0,0.8895793732817951,33.333333333333336,52
TM43054_Baker_O8,43054,374860913489998,Baker,Local,8,602,Sweetgum / Nuttall oak / willow oak,71,15.790033875751863,23.0,5.115081396370322,32.394366197183096,52
TM50207_Baker_O7,50207,451136981489998,Baker,State,7,608,Sweetbay / swamp tupelo / red maple,10,2.223948433204488,3.0,0.6671845299613464,30.0,44
TM67372_Baker_O7,67372,718603850290487,Baker,State,7,608,Sweetbay / swamp tupelo / red maple,10,2.223948433204488,3.0,0.6671845299613464,30.0,31
TM36938_Baker_O7,36938,289515961489998,Baker,State,7,608,Sweetbay / swamp tupelo / red maple,7,1.5567639032431415,2.0,0.4447896866408976,28.571428571428573,35
TM67462_Suwannee_O7,67462,718604233290487,Suwannee,State,7,608,Sweetbay / swamp tupelo / red maple,11,2.446343276524937,3.0,0.6671845299613464,27.272727272727273,18
TM48445_Hamilton_O7,48445,448939642489998,Hamilton,State,7,161,Loblolly pine,161,35.80556977459226,43.0,9.562978262779298,26.70807453416149,59
TM36911_Baker_O4,36911,289515792489998,Baker,Corporate/Other Private,4,514,Southern scrub oak,15,3.335922649806732,4.0,0.8895793732817951,26.666666666666668,50
TM17787_Baker_O3,17787,85172032010478,Baker,Family Forest,3,608,Sweetbay / swamp tupelo / red maple,19,4.225502023088527,5.0,1.111974216602244,26.31578947368421,56
TM48670_Baker_O7,48670,448940999489998,Baker,State,7,608,Sweetbay / swamp tupelo / red maple,4,0.8895793732817951,1.0,0.2223948433204488,25.0,69
TM43054_Hamilton_O7,43054,374860913489998,Hamilton,State,7,602,Sweetgum / Nuttall oak / willow oak,4,0.8895793732817951,1.0,0.2223948433204488,25.0,52
TM64165_Suwannee_O4,64165,635664709126144,Suwannee,Corporate/Other Private,4,607,Baldcypress / water tupelo,8,1.7791587465635903,2.0,0.4447896866408976,25.0,94
TM43294_Baker_O7,43294,374861940489998,Baker,State,7,406,Loblolly pine / hardwood,4,0.8895793732817951,1.0,0.2223948433204488,25.0,38
TM36942_Union_O3,36942,289515970489998,Union,Family Forest,3,602,Sweetgum / Nuttall oak / willow oak,4,0.8895793732817951,1.0,0.2223948433204488,25.0,84
TM48549_Columbia_O3,48549,448940134489998,Columbia,Family Forest,3,142,Slash pine,4,0.8895793732817951,1.0,0.2223948433204488,25.0,13
TM48550_Hamilton_O4,48550,448940136489998,Hamilton,Corporate/Other Private,4,608,Sweetbay / swamp tupelo / red maple,8,1.7791587465635903,2.0,0.4447896866408976,25.0,55
TM48668_Union_O8,48668,448940993489998,Union,Local,8,142,Slash pine,4,0.8895793732817951,1.0,0.2223948433204488,25.0,37
TM43206_Union_O4,43206,374861540489998,Union,Corporate/Other Private,4,164,Sand pine,4,0.8895793732817951,1.0,0.2223948433204488,25.0,18
TM48570_Hamilton_O4,48570,448940205489998,Hamilton,Corporate/Other Private,4,142,Slash pine,4,0.8895793732817951,1.0,0.2223948433204488,25.0,5
TM64114_Hamilton_O3,64114,635664537126144,Hamilton,Family Forest,3,142,Slash pine,4,0.8895793732817951,1.0,0.2223948433204488,25.0,11
TM67279_Hamilton_O7,67279,718562372290487,Hamilton,State,7,142,Slash pine,33,7.33902982957481,8.0,1.7791587465635903,24.242424242424242,42
TM48556_Suwannee_O4,48556,448940165489998,Suwannee,Corporate/Other Private,4,608,Sweetbay / swamp tupelo / red maple,17,3.780712336447629,4.0,0.8895793732817951,23.529411764705884,20
