stand_id,trajectory_id,PLT_CN,prescription,county,owner_class,owner_group,unit_class,acres,library_size,total_removed_cuft,ending_standing_cuft,cuft_cycle_1,cuft_cycle_2,cuft_cycle_3,cuft_cycle_4,cuft_cycle_5,cuft_cycle_6,cuft_cycle_7,cuft_cycle_8,cuft_cycle_9,cuft_cycle_10
TM23747_Baker_O3,173002836010854::family_uneven_aged_selection,173002836010854,family_uneven_aged_selection,Baker,private_family,Private,managed,17161.765269352392,4,38575083.44677836,98237690.15815757,0.0,0.0,9502263.287342751,0.0,0.0,13428121.839809585,0.0,0.0,15644698.319626024,0.0
TM43151_Union_O3,374861300489998::family_uneven_aged_selection,374861300489998,family_uneven_aged_selection,Union,private_family,Private,managed,11108.4000290131,4,29792852.952349596,69688140.78025481,0.0,0.0,8181904.10982178,0.0,0.0,10220029.059993621,0.0,0.0,11390919.782534193,0.0
TM2743_Baker_O6,20342987010478::public_thin_restore,20342987010478,public_thin_restore,Baker,federal,Federal (NF),managed,11062.364296445763,3,1860079.1819108506,22192229.00081659,488895.06776768406,0.0,0.0,362906.64546207304,0.0,0.0,1008277.4686810934,0.0,0.0,0.0
TM23749_Columbia_O6,173002845010854::no_management,173002845010854,no_management,Columbia,federal,Federal (NF),managed,10736.555850981304,3,0.0,44151800.22507515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67523_Baker_O3,718604718290487::no_management,718604718290487,no_management,Baker,private_family,Private,managed,10273.97457687477,4,0.0,78768456.11345634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM59428_Baker_O6,533665395126144::no_management,533665395126144,no_management,Baker,federal,Federal (NF),managed,9993.312284604368,3,0.0,45066627.66163051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64293_Suwannee_O3,638333844126144::pine_plantation_long_rotation,638333844126144,pine_plantation_long_rotation,Suwannee,private_family,Private,managed,8871.107905209383,4,59173581.46972106,22279155.090967465,0.0,0.0,3800598.0693306816,0.0,0.0,55372983.40039037,0.0,0.0,0.0,0.0
TM2743_Baker_O3,20342987010478::pine_plantation_long_rotation,20342987010478,pine_plantation_long_rotation,Baker,private_family,Private,managed,8659.388014368315,4,5333401.853796363,27452786.36508788,5333401.853796363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM36962_Suwannee_O3,289516223489998::family_uneven_aged_selection,289516223489998,family_uneven_aged_selection,Suwannee,private_family,Private,managed,8372.053876798294,3,10213638.482124489,26221626.34694688,0.0,0.0,3043939.5960323242,0.0,0.0,3207588.6196242156,0.0,0.0,3962110.266467948,0.0
TM59428_Baker_O3,533665395126144::family_uneven_aged_selection,533665395126144,family_uneven_aged_selection,Baker,private_family,Private,managed,7854.763471234931,4,12178815.556316918,27673837.07764819,0.0,0.0,3593686.6071035345,0.0,0.0,4117367.868244529,0.0,0.0,4467761.080968855,0.0
TM2743_Columbia_O6,20342987010478::public_thin_restore,20342987010478,public_thin_restore,Columbia,federal,Federal (NF),managed,7400.410806331254,3,1244340.6951321915,14845977.488463933,327057.0599299879,0.0,0.0,242774.34631490379,0.0,0.0,674509.2888872998,0.0,0.0,0.0
TM48634_Baker_O3,448940584489998::family_uneven_aged_selection,448940584489998,family_uneven_aged_selection,Baker,private_family,Private,managed,7105.5152440883385,4,15404044.069016203,34587833.66502249,0.0,0.0,4525861.924635412,0.0,0.0,5217975.278841462,0.0,0.0,5660206.865539329,0.0
TM43151_Baker_O3,374861300489998::pine_plantation_long_rotation,374861300489998,pine_plantation_long_rotation,Baker,private_family,Private,managed,6898.020855270361,4,39400134.803930804,29488867.37939426,3835040.6671351795,0.0,0.0,35565094.136795625,0.0,0.0,0.0,0.0,0.0,0.0
TM23747_Columbia_O6,173002836010854::no_management,173002836010854,no_management,Columbia,federal,Federal (NF),managed,6880.229267804724,3,0.0,48436095.11513857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM36935_Baker_O3,289515947489998::family_uneven_aged_selection,289515947489998,family_uneven_aged_selection,Baker,private_family,Private,managed,6762.1376060015655,4,12378373.130182989,28082378.24702381,0.0,0.0,3522606.8972170264,0.0,0.0,4225373.521762624,0.0,0.0,4630392.711203339,0.0
TM59428_Columbia_O6,533665395126144::public_thin_restore,533665395126144,public_thin_restore,Columbia,federal,Federal (NF),managed,6227.500402659207,3,4015270.3023067676,26513461.333454333,1988985.6708253794,0.0,0.0,1175765.3984029857,0.0,0.0,850519.2330784027,0.0,0.0,0.0
TM23748_Union_O3,173002842010854::family_light_thin,173002842010854,family_light_thin,Union,private_family,Private,managed,6115.413401625701,4,1524548.038157826,29533890.35418742,0.0,1524548.038157826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48592_Suwannee_O3,448940348489998::family_uneven_aged_selection,448940348489998,family_uneven_aged_selection,Suwannee,private_family,Private,managed,6073.380776238136,3,7677987.512669794,21111178.33685022,0.0,0.0,2042714.9370026356,0.0,0.0,2432791.1992563116,0.0,0.0,3202481.3764108466,0.0
TM36897_Hamilton_O3,289515725489998::family_uneven_aged_selection,289515725489998,family_uneven_aged_selection,Hamilton,private_family,Private,managed,5675.516401537853,3,8008219.979324726,21828559.8462325,0.0,0.0,1831290.721402071,0.0,0.0,2751510.5469371215,0.0,0.0,3425418.710985534,0.0
TM50183_Baker_O3,451136888489998::no_management,451136888489998,no_management,Baker,private_family,Private,managed,5460.460588046979,3,0.0,29008022.315147635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64406_Hamilton_O4,638334495126144::pine_plantation_long_rotation,638334495126144,pine_plantation_long_rotation,Hamilton,private_industrial,Private,managed,5429.770099668757,3,25530799.224461347,45793286.46051234,3631991.579608832,21898807.644852515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67372_Union_O3,718603850290487::family_uneven_aged_selection,718603850290487,family_uneven_aged_selection,Union,private_family,Private,managed,5284.546266980504,3,8254114.696454952,24269549.66731794,0.0,0.0,1646619.4930104394,0.0,0.0,2901688.426224221,0.0,0.0,3705806.777220291,0.0
TM36962_Columbia_O3,289516223489998::family_uneven_aged_selection,289516223489998,family_uneven_aged_selection,Columbia,private_family,Private,managed,5006.552712829943,3,6107834.493547256,15680734.554986535,0.0,0.0,1820299.3275569046,0.0,0.0,1918162.704342684,0.0,0.0,2369372.4616476675,0.0
TM64454_Baker_O3,638334746126144::family_uneven_aged_selection,638334746126144,family_uneven_aged_selection,Baker,private_family,Private,managed,5064.15297724994,4,11260792.927697178,27759599.636365812,0.0,0.0,2931497.9546853565,0.0,0.0,3896923.825171058,0.0,0.0,4432371.147840763,0.0
TM43291_Baker_O3,374861937489998::pine_plantation_long_rotation,374861937489998,pine_plantation_long_rotation,Baker,private_family,Private,managed,5041.691098074575,4,18810962.60155852,17559449.40975522,1814155.3327665327,16996807.26879199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM59213_Columbia_O6,533664592126144::public_thin_restore,533664592126144,public_thin_restore,Columbia,federal,Federal (NF),managed,4980.532516161451,3,1083203.7423014445,24088994.831886448,55337.07265742505,0.0,0.0,51627.12273054491,0.0,0.0,976239.5469134746,0.0,0.0,0.0
TM48658_Suwannee_O3,448940864489998::pine_plantation_long_rotation,448940864489998,pine_plantation_long_rotation,Suwannee,private_family,Private,managed,4936.275942340681,4,18201428.98971404,42670875.731611975,826795.7904183472,17374633.199295696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67371_Columbia_O6,718603849290487::no_management,718603849290487,no_management,Columbia,federal,Federal (NF),managed,4747.46272036162,3,0.0,16761487.386106431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67372_Baker_O3,718603850290487::no_management,718603850290487,no_management,Baker,private_family,Private,managed,4408.977768827897,3,0.0,23256199.51277437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48445_Columbia_O6,448939642489998::public_selection_light,448939642489998,public_selection_light,Columbia,federal,Federal (NF),managed,4391.853365892222,3,11365597.551693454,14383483.824460354,0.0,2584079.777098088,0.0,2910869.426385155,0.0,2930460.4055871954,0.0,2940187.942623015,0.0,0.0
TM35220_Hamilton_O3,259083023010854::family_uneven_aged_selection,259083023010854,family_uneven_aged_selection,Hamilton,private_family,Private,managed,4217.718203572311,3,6807633.2430408485,15850690.599756666,0.0,0.0,1871133.119870427,0.0,0.0,2365817.6109839203,0.0,0.0,2570682.512186501,0.0
TM67205_Hamilton_O3,718562044290487::pine_plantation_long_rotation,718562044290487,pine_plantation_long_rotation,Hamilton,private_family,Private,managed,4270.203386595937,4,35296349.71908041,518252.37783635186,0.0,0.0,3203938.500854513,0.0,0.0,0.0,32092411.2182259,0.0,0.0,0.0
TM43181_Baker_O3,374861410489998::family_uneven_aged_selection,374861410489998,family_uneven_aged_selection,Baker,private_family,Private,managed,4222.388495282041,3,12831032.50732733,25229744.387908716,0.0,0.0,4303968.93764871,0.0,0.0,4287431.42118495,0.0,0.0,4239632.14849367,0.0
TM67509_Baker_O3,718604473290487::family_uneven_aged_selection,718604473290487,family_uneven_aged_selection,Baker,private_family,Private,managed,4218.162993258952,4,9212937.834910773,23168081.050933577,0.0,0.0,2321997.5474877623,0.0,0.0,3194121.5406493796,0.0,0.0,3696818.7467736313,0.0
TM36897_Suwannee_O3,289515725489998::family_uneven_aged_selection,289515725489998,family_uneven_aged_selection,Suwannee,private_family,Private,managed,4083.3917182067607,3,5761713.442021212,15705101.384665947,0.0,0.0,1317567.7482626734,0.0,0.0,1979642.835121963,0.0,0.0,2464502.858636575,0.0
TM64293_Columbia_O3,638333844126144::pine_plantation_long_rotation,638333844126144,pine_plantation_long_rotation,Columbia,private_family,Private,managed,4115.861365331546,4,27454322.551583834,10336692.403132064,0.0,0.0,1763334.9662589417,0.0,0.0,25690987.58532489,0.0,0.0,0.0,0.0
TM64454_Union_O3,638334746126144::pine_plantation_long_rotation,638334746126144,pine_plantation_long_rotation,Union,private_family,Private,managed,3879.9004365685496,4,14944320.12998527,27496189.43055641,778923.9357208201,0.0,14165396.19426445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM23748_Baker_O3,173002842010854::family_light_thin,173002842010854,family_light_thin,Baker,private_family,Private,managed,3901.917526057274,4,972732.3925186943,18843992.51815471,0.0,972732.3925186943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48658_Columbia_O3,448940864489998::pine_plantation_long_rotation,448940864489998,pine_plantation_long_rotation,Columbia,private_family,Private,managed,3842.0933132040736,4,14166871.833947554,33212382.82300093,643526.9451823467,13523344.888765207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64293_Columbia_O4,638333844126144::pine_plantation_short_rotation,638333844126144,pine_plantation_short_rotation,Columbia,private_industrial,Private,managed,3692.8663733360527,3,16584235.647043653,23919440.20410747,0.0,1376411.470228638,0.0,15207824.176815014,0.0,0.0,0.0,0.0,0.0,0.0
TM48634_Columbia_O6,448940584489998::no_management,448940584489998,no_management,Columbia,federal,Federal (NF),managed,3617.919311137061,3,0.0,24595216.10824538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64479_Columbia_O3,638335018126144::family_uneven_aged_selection,638335018126144,family_uneven_aged_selection,Columbia,private_family,Private,managed,3611.247465837448,4,6698552.936103684,16896118.79087368,0.0,0.0,1744000.5412608525,0.0,0.0,2283251.9866905934,0.0,0.0,2671300.408152238,0.0
TM50147_Hamilton_O3,451136773489998::family_uneven_aged_selection,451136773489998,family_uneven_aged_selection,Hamilton,private_family,Private,managed,3580.7793723025466,3,4549059.90246094,11355560.571833873,0.0,0.0,1226089.9790846081,0.0,0.0,1551193.4492387203,0.0,0.0,1771776.4741376117,0.0
TM50147_Columbia_O3,451136773489998::family_uneven_aged_selection,451136773489998,family_uneven_aged_selection,Columbia,private_family,Private,managed,3605.909989597756,3,4580986.103875639,11435256.14009778,0.0,0.0,1234694.9208668922,0.0,0.0,1562080.0314239243,0.0,0.0,1784211.1515848225,0.0
TM64406_Hamilton_O3,638334495126144::pine_plantation_long_rotation,638334495126144,pine_plantation_long_rotation,Hamilton,private_family,Private,managed,3543.8618283113515,4,16663251.511029761,29888020.468902893,2370501.15998635,14292750.35104341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48445_Baker_O3,448939642489998::pine_plantation_long_rotation,448939642489998,pine_plantation_long_rotation,Baker,private_family,Private,managed,3527.6270047489584,4,8845953.610464742,11976037.893715387,8845953.610464742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64452_Baker_O3,638334742126144::family_uneven_aged_selection,638334742126144,family_uneven_aged_selection,Baker,private_family,Private,managed,3449.121625056841,4,7058519.410110365,16643517.463327384,0.0,0.0,1828505.1788065922,0.0,0.0,2482063.4130299864,0.0,0.0,2747950.818273786,0.0
TM67523_Columbia_O6,718604718290487::public_thin_restore,718604718290487,public_thin_restore,Columbia,federal,Federal (NF),managed,3462.242920812747,3,1582273.1829121234,26553702.511042785,1539127.580389878,0.0,0.0,43145.60252224537,0.0,0.0,0.0,0.0,0.0,0.0
TM43235_Hamilton_O4,374861676489998::pine_plantation_long_rotation,374861676489998,pine_plantation_long_rotation,Hamilton,private_industrial,Private,managed,3453.347127079929,3,18837830.68363024,17925679.120290235,2084691.064537182,0.0,0.0,16753139.619093057,0.0,0.0,0.0,0.0,0.0,0.0
TM35378_Columbia_O3,259178355010854::family_uneven_aged_selection,259178355010854,family_uneven_aged_selection,Columbia,private_family,Private,managed,3414.2056346555296,3,2938217.5132077425,9295374.057914788,0.0,0.0,665348.4806212123,0.0,0.0,973549.9839747862,0.0,0.0,1299319.0486117438,0.0
TM67205_Hamilton_O4,718562044290487::pine_plantation_short_rotation,718562044290487,pine_plantation_short_rotation,Hamilton,private_industrial,Private,managed,3435.555539614293,3,20804079.75182889,13445159.836701885,0.0,0.0,1885465.130411442,0.0,18918614.621417448,0.0,0.0,0.0,0.0,0.0
TM67279_Columbia_O6,718562372290487::public_thin_restore,718562372290487,public_thin_restore,Columbia,federal,Federal (NF),managed,3367.725112401556,3,1061681.3668580742,17587261.974750698,615718.7732587311,0.0,0.0,302790.48140456696,0.0,0.0,143172.1121947762,0.0,0.0,0.0
TM48596_Suwannee_O3,448940355489998::family_uneven_aged_selection,448940355489998,family_uneven_aged_selection,Suwannee,private_family,Private,managed,3196.925872731452,3,5110013.41811761,10795402.077624401,0.0,0.0,1688555.9914168469,0.0,0.0,1680201.9152257382,0.0,0.0,1741255.5114750245,0.0
