dimension,key,cycle,calendar_year,volume_cuft,target_cuft,deviation_cuft,deviation_pct
county,Baker,1,2027,58984009.46626701,57256000.0,1728009.466267012,3.018040845093985
county,Baker,2,2032,60676574.46311391,57256000.0,3420574.4631139114,5.974176441095975
county,Baker,3,2037,58403011.72452625,57256000.0,1147011.7245262489,2.0033039760483597
county,Baker,4,2042,61011189.91505264,57256000.0,3755189.9150526375,6.558596330607513
county,Baker,5,2047,2310577.279996382,57256000.0,-54945422.72000362,-95.96448008942927
county,Baker,6,2052,58767816.05251915,57256000.0,1511816.05251915,2.6404500009067173
county,Baker,7,2057,30235270.337326642,57256000.0,-27020729.662673358,-47.19283509618793
county,Baker,8,2062,4371611.26867756,57256000.0,-52884388.73132244,-92.36479797981424
county,Baker,9,2067,60534459.9703852,57256000.0,3278459.9703852013,5.725967532459832
county,Baker,10,2072,0.0,57256000.0,-57256000.0,-100.0
county,Columbia,1,2027,81171197.0879011,98627500.0,-17456302.9120989,-17.699224772095917
county,Columbia,2,2032,63346442.09839957,98627500.0,-35281057.90160043,-35.77202899962022
county,Columbia,3,2037,79501311.37754986,98627500.0,-19126188.622450143,-19.392348607082347
county,Columbia,4,2042,71074182.60866794,98627500.0,-27553317.39133206,-27.936749275133263
county,Columbia,5,2047,12506492.237162268,98627500.0,-86121007.76283774,-87.31946745363892
county,Columbia,6,2052,86068533.89924031,98627500.0,-12558966.100759685,-12.73373663609002
county,Columbia,7,2057,43090754.139500305,98627500.0,-55536745.860499695,-56.309595052596585
county,Columbia,8,2062,20894742.03193479,98627500.0,-77732757.9680652,-78.81448679938678
county,Columbia,9,2067,45167876.469257884,98627500.0,-53459623.530742116,-54.20356749460558
county,Columbia,10,2072,0.0,98627500.0,-98627500.0,-100.0
county,Hamilton,1,2027,67326742.08378993,81057500.0,-13730757.91621007,-16.939528009388482
county,Hamilton,2,2032,62395844.79916879,81057500.0,-18661655.200831212,-23.022737193759014
county,Hamilton,3,2037,67235305.29430725,81057500.0,-13822194.705692753,-17.052332857160355
county,Hamilton,4,2042,55807945.21252667,81057500.0,-25249554.78747333,-31.150177081051513
county,Hamilton,5,2047,30469734.897808556,81057500.0,-50587765.10219145,-62.40972778853462
county,Hamilton,6,2052,51509818.72084514,81057500.0,-29547681.27915486,-36.452741916731775
county,Hamilton,7,2057,34917243.16913494,81057500.0,-46140256.83086506,-56.92287182662315
county,Hamilton,8,2062,3185443.8194453847,81057500.0,-77872056.18055461,-96.0701430226131
county,Hamilton,9,2067,46155945.30701492,81057500.0,-34901554.69298508,-43.05777342378568
county,Hamilton,10,2072,0.0,81057500.0,-81057500.0,-100.0
county,Suwanee,1,2027,67668724.56035417,112373500.0,-44704775.43964583,-39.782311167353356
county,Suwanee,2,2032,41566949.0955755,112373500.0,-70806550.9044245,-63.01000761249272
county,Suwanee,3,2037,70839214.68410921,112373500.0,-41534285.31589079,-36.960925232275216
county,Suwanee,4,2042,41051518.417905465,112373500.0,-71321981.58209454,-63.468683970949144
county,Suwanee,5,2047,7073566.573552783,112373500.0,-105299933.42644721,-93.70530723564472
county,Suwanee,6,2052,91186312.66466887,112373500.0,-21187187.335331127,-18.85425597256571
county,Suwanee,7,2057,13723608.84580553,112373500.0,-98649891.15419447,-87.78750430857316
county,Suwanee,8,2062,1243279.7377364556,112373500.0,-111130220.26226355,-98.89361839069136
county,Suwanee,9,2067,37040943.82161077,112373500.0,-75332556.17838922,-67.03765227423656
county,Suwanee,10,2072,0.0,112373500.0,-112373500.0,-100.0
county,Union,1,2027,36759210.70769787,38214500.0,-1455289.2923021317,-3.808212307637498
county,Union,2,2032,20329358.04042725,38214500.0,-17885141.95957275,-46.801978200873364
county,Union,3,2037,40006949.82201249,38214500.0,1792449.8220124915,4.690496596874201
county,Union,4,2042,21325991.7888975,38214500.0,-16888508.2111025,-44.1939792777676
county,Union,5,2047,4375266.223588316,38214500.0,-33839233.77641168,-88.55076941059463
county,Union,6,2052,33792610.66891831,38214500.0,-4421889.331081688,-11.571234298713023
county,Union,7,2057,390807.1919323455,38214500.0,-37823692.80806766,-98.97733270896559
county,Union,8,2062,1869708.8767364605,38214500.0,-36344791.12326354,-95.10733130948603
county,Union,9,2067,36594359.853185676,38214500.0,-1620140.146814324,-4.239595302344199
county,Union,10,2072,0.0,38214500.0,-38214500.0,-100.0
owner_group,Federal (NF),1,2027,9139488.678926488,10117500.0,-978011.3210735116,-9.666531466009504
owner_group,Federal (NF),2,2032,8281415.446532079,10117500.0,-1836084.553467921,-18.147611104204803
owner_group,Federal (NF),3,2037,0.0,10117500.0,-10117500.0,-100.0
owner_group,Federal (NF),4,2042,14436988.036708323,10117500.0,4319488.036708323,42.69323485750752
owner_group,Federal (NF),5,2047,0.0,10117500.0,-10117500.0,-100.0
owner_group,Federal (NF),6,2052,9562457.735776434,10117500.0,-555042.2642235663,-5.485962581898357
owner_group,Federal (NF),7,2057,7198052.736988224,10117500.0,-2919447.263011776,-28.85542142833483
owner_group,Federal (NF),8,2062,9741235.088402452,10117500.0,-376264.91159754805,-3.7189514365954834
owner_group,Federal (NF),9,2067,0.0,10117500.0,-10117500.0,-100.0
owner_group,Federal (NF),10,2072,0.0,10117500.0,-10117500.0,-100.0
owner_group,Other public,1,2027,7347238.703278936,22434500.0,-15087261.296721064,-67.25026765348487
owner_group,Other public,2,2032,18191838.77338615,22434500.0,-4242661.226613849,-18.911325086869997
owner_group,Other public,3,2037,3543388.9764649402,22434500.0,-18891111.023535058,-84.205625369565
owner_group,Other public,4,2042,18769093.14260419,22434500.0,-3665406.857395809,-16.338259633135614
owner_group,Other public,5,2047,188537.50265108416,22434500.0,-22245962.497348916,-99.15960907240596
owner_group,Other public,6,2052,18671160.704663996,22434500.0,-3763339.2953360043,-16.774785688720517
owner_group,Other public,7,2057,1595426.9387401466,22434500.0,-20839073.061259855,-92.88851127174598
owner_group,Other public,8,2062,18637298.242682744,22434500.0,-3797201.757317256,-16.9257249206234
owner_group,Other public,9,2067,0.0,22434500.0,-22434500.0,-100.0
owner_group,Other public,10,2072,0.0,22434500.0,-22434500.0,-100.0
owner_group,Private,1,2027,295423156.52380514,354974000.0,-59550843.47619486,-16.776114159401775
owner_group,Private,2,2032,221841914.27676672,354974000.0,-133132085.72323328,-37.50474280460915
owner_group,Private,3,2037,312442403.9260404,354974000.0,-42531596.07395959,-11.981608814718708
owner_group,Private,4,2042,217064746.76373792,354974000.0,-137909253.23626208,-38.850522358331055
owner_group,Private,5,2047,56547099.709457204,354974000.0,-298426900.2905428,-84.07007281957067
owner_group,Private,6,2052,293091473.56575173,354974000.0,-61882526.43424827,-17.43297436833353
owner_group,Private,7,2057,113564204.00797148,354974000.0,-241409795.99202853,-68.00774028295834
owner_group,Private,8,2062,3186252.403445411,354974000.0,-351787747.5965546,-99.10239837186796
owner_group,Private,9,2067,225493585.4214544,354974000.0,-129480414.5785456,-36.47602770302772
owner_group,Private,10,2072,0.0,354974000.0,-354974000.0,-100.0
