cycle,cuft,calendar_year,target_cuft,deviation_pct
1,311909883.9060104,2027,387529000.0,-19.513150265912902
2,248315168.49668497,2032,387529000.0,-35.92346159985834
3,315985792.90250534,2037,387529000.0,-18.461381495964083
4,250270827.94305035,2042,387529000.0,-35.41881305836458
5,56735637.212108314,2047,387529000.0,-85.35964090116913
6,321325092.00619173,2052,387529000.0,-17.08360096762004
7,122357683.6836998,2057,387529000.0,-68.4261865089581
8,31564785.734530658,2062,387529000.0,-91.85485841458814
9,225493585.42145437,2067,387529000.0,-41.812461668299825
10,0.0,2072,387529000.0,-100.0
