county,owner_group,stands,acres,removed_cuft
Baker,Federal (NF),211,37530.46417938566,10206386.780099265
Baker,Other public,288,2720.7785131823707,6745582.011958045
Baker,Private,1851,216974.19140935616,377567058.63534606
Columbia,Federal (NF),779,102135.27658460275,46441678.972566485
Columbia,Other public,678,22822.381216387774,53789231.96703392
Columbia,Private,2028,156353.58262222493,404514245.21417135
Hamilton,Federal (NF),83,463.91564316645616,1103959.8561823538
Hamilton,Other public,261,2628.9294428910252,7046369.435546673
Hamilton,Private,1757,151132.41888559074,410905186.46682495
Suwannee,Federal (NF),48,288.2237169433016,752781.3328248147
Suwannee,Other public,265,1629.0422273222873,4108353.4204151947
Suwannee,Private,1328,140878.90463430146,366623207.94603944
Union,Other public,293,5107.964761384068,15188791.599700585
Union,Private,1961,84431.75747692175,179287817.35846293
