PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac
134677819010854,family_light_thin,0,2022,0.0
134677819010854,family_light_thin,1,2027,0.0
134677819010854,family_light_thin,2,2032,40.026485443115234
134677819010854,family_light_thin,3,2037,0.0
134677819010854,family_light_thin,4,2042,0.0
134677819010854,family_light_thin,5,2047,0.0
134677819010854,family_light_thin,6,2052,0.0
134677819010854,family_light_thin,7,2057,0.0
134677819010854,family_light_thin,8,2062,0.0
134677819010854,family_light_thin,9,2067,0.0
134677819010854,family_light_thin,10,2072,0.0
134677819010854,family_uneven_aged_selection,0,2022,0.0
134677819010854,family_uneven_aged_selection,1,2027,0.0
134677819010854,family_uneven_aged_selection,2,2032,0.0
134677819010854,family_uneven_aged_selection,3,2037,88.55164337158203
134677819010854,family_uneven_aged_selection,4,2042,0.0
134677819010854,family_uneven_aged_selection,5,2047,0.0
134677819010854,family_uneven_aged_selection,6,2052,278.3238830566406
134677819010854,family_uneven_aged_selection,7,2057,0.0
134677819010854,family_uneven_aged_selection,8,2062,0.0
134677819010854,family_uneven_aged_selection,9,2067,465.4684143066406
134677819010854,family_uneven_aged_selection,10,2072,0.0
134677819010854,no_management,0,2022,0.0
134677819010854,no_management,1,2027,0.0
134677819010854,no_management,2,2032,0.0
134677819010854,no_management,3,2037,0.0
134677819010854,no_management,4,2042,0.0
134677819010854,no_management,5,2047,0.0
134677819010854,no_management,6,2052,0.0
134677819010854,no_management,7,2057,0.0
134677819010854,no_management,8,2062,0.0
134677819010854,no_management,9,2067,0.0
134677819010854,no_management,10,2072,0.0
134677819010854,pine_plantation_long_rotation,0,2022,0.0
134677819010854,pine_plantation_long_rotation,1,2027,14.84453010559082
134677819010854,pine_plantation_long_rotation,2,2032,0.0
134677819010854,pine_plantation_long_rotation,3,2037,0.0
134677819010854,pine_plantation_long_rotation,4,2042,822.38818359375
134677819010854,pine_plantation_long_rotation,5,2047,0.0
134677819010854,pine_plantation_long_rotation,6,2052,0.0
134677819010854,pine_plantation_long_rotation,7,2057,0.0
134677819010854,pine_plantation_long_rotation,8,2062,0.0
134677819010854,pine_plantation_long_rotation,9,2067,0.0
134677819010854,pine_plantation_long_rotation,10,2072,0.0
134677819010854,pine_plantation_short_rotation,0,2022,0.0
134677819010854,pine_plantation_short_rotation,1,2027,6.838620662689209
134677819010854,pine_plantation_short_rotation,2,2032,143.6453399658203
134677819010854,pine_plantation_short_rotation,3,2037,0.0
134677819010854,pine_plantation_short_rotation,4,2042,0.0
134677819010854,pine_plantation_short_rotation,5,2047,0.0
134677819010854,pine_plantation_short_rotation,6,2052,0.0
