fvs_run_id,PLT_CN,prescription,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
134677819010854::family_light_thin,134677819010854,family_light_thin,10,2027,2072,40.026485443115234,1,175.701416015625,3343.79052734375
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,10,2027,2072,832.3439407348633,3,161.48980712890625,3174.81494140625
134677819010854::no_management,134677819010854,no_management,10,2027,2072,0.0,0,179.27923583984375,3749.1103515625
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,10,2027,2072,837.2327136993408,2,177.8238525390625,2618.56005859375
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,10,2027,2072,150.48396062850952,2,193.38388061523438,3878.602294921875
134677819010854::public_selection_light,134677819010854,public_selection_light,10,2027,2072,1028.3024864196777,4,169.08157348632812,3034.92041015625
134677819010854::public_thin_restore,134677819010854,public_thin_restore,10,2027,2072,642.0703563690186,3,170.3143310546875,3033.238037109375
134677831010854::family_light_thin,134677831010854,family_light_thin,10,2027,2072,57.1111946105957,1,73.66596221923828,2384.842529296875
134677831010854::family_uneven_aged_selection,134677831010854,family_uneven_aged_selection,10,2027,2072,584.7361831665039,3,68.08846282958984,2203.69580078125
134677831010854::no_management,134677831010854,no_management,10,2027,2072,0.0,0,104.2358169555664,3372.11083984375
134677831010854::pine_plantation_long_rotation,134677831010854,pine_plantation_long_rotation,10,2027,2072,294.76166105270386,2,189.13621520996094,4440.431640625
134677831010854::pine_plantation_short_rotation,134677831010854,pine_plantation_short_rotation,10,2027,2072,14.990330696105957,1,135.50747680664062,3695.2705078125
134678539010854::family_light_thin,134678539010854,family_light_thin,10,2027,2072,64.5470199584961,1,179.1891326904297,5657.57080078125
134678539010854::family_uneven_aged_selection,134678539010854,family_uneven_aged_selection,10,2027,2072,1816.6887817382812,3,163.8881072998047,4903.17529296875
134678539010854::no_management,134678539010854,no_management,10,2027,2072,0.0,0,179.47015380859375,5693.767578125
134678539010854::pine_plantation_long_rotation,134678539010854,pine_plantation_long_rotation,10,2027,2072,2127.5413360595703,2,212.8965301513672,6830.33837890625
134678539010854::pine_plantation_short_rotation,134678539010854,pine_plantation_short_rotation,10,2027,2072,1339.640380859375,1,182.319580078125,5582.9658203125
134678539010854::public_selection_light,134678539010854,public_selection_light,10,2027,2072,2663.2494201660156,4,172.6034393310547,4813.43603515625
134678539010854::public_thin_restore,134678539010854,public_thin_restore,10,2027,2072,365.8467330932617,3,179.99026489257812,5625.5791015625
140561558010478::no_management,140561558010478,no_management,10,2027,2072,0.0,0,150.5670166015625,5561.19384765625
140561558010478::pine_plantation_long_rotation,140561558010478,pine_plantation_long_rotation,10,2027,2072,573.4197387695312,1,149.52606201171875,5095.59130859375
140561558010478::pine_plantation_short_rotation,140561558010478,pine_plantation_short_rotation,10,2027,2072,573.4197387695312,1,149.52606201171875,5095.59130859375
140564077010478::family_light_thin,140564077010478,family_light_thin,10,2027,2072,109.73379516601562,1,227.169921875,3622.28076171875
140564077010478::family_uneven_aged_selection,140564077010478,family_uneven_aged_selection,10,2027,2072,1123.6112670898438,3,197.9129638671875,2922.444091796875
140564077010478::hardwood_clearcut_regen,140564077010478,hardwood_clearcut_regen,10,2027,2072,948.6118774414062,1,115.02950286865234,22.581676483154297
140564077010478::no_management,140564077010478,no_management,10,2027,2072,0.0,0,226.83360290527344,3714.2373046875
140564077010478::public_selection_light,140564077010478,public_selection_light,10,2027,2072,1477.0235595703125,4,164.38523864746094,2204.685791015625
140564077010478::public_thin_restore,140564077010478,public_thin_restore,10,2027,2072,398.12410736083984,3,213.0205535888672,3376.2529296875
140566167010478::family_light_thin,140566167010478,family_light_thin,10,2027,2072,9.56474494934082,1,183.92376708984375,4529.22705078125
140566167010478::family_uneven_aged_selection,140566167010478,family_uneven_aged_selection,10,2027,2072,1610.5118408203125,3,144.35134887695312,3261.52392578125
140566167010478::no_management,140566167010478,no_management,10,2027,2072,0.0,0,183.22702026367188,4527.9296875
140566167010478::pine_plantation_long_rotation,140566167010478,pine_plantation_long_rotation,10,2027,2072,3257.11767578125,1,164.48175048828125,2768.66015625
140566167010478::pine_plantation_short_rotation,140566167010478,pine_plantation_short_rotation,10,2027,2072,3257.11767578125,1,164.48175048828125,2768.66015625
140566167010478::public_selection_light,140566167010478,public_selection_light,10,2027,2072,2364.9086303710938,4,115.76264953613281,2362.3056640625
140566167010478::public_thin_restore,140566167010478,public_thin_restore,10,2027,2072,130.72461080551147,3,181.04994201660156,4699.82763671875
140568302010478::family_light_thin,140568302010478,family_light_thin,10,2027,2072,40.53814697265625,1,113.46965789794922,1924.7230224609375
140568302010478::family_uneven_aged_selection,140568302010478,family_uneven_aged_selection,10,2027,2072,473.5566940307617,3,91.31468200683594,1478.6649169921875
140568302010478::hardwood_clearcut_regen,140568302010478,hardwood_clearcut_regen,10,2027,2072,1018.0330810546875,1,71.24299621582031,365.4720764160156
140568302010478::no_management,140568302010478,no_management,10,2027,2072,0.0,0,119.28561401367188,2103.486572265625
140568302010478::public_selection_light,140568302010478,public_selection_light,10,2027,2072,576.2251739501953,4,76.81430053710938,1150.9193115234375
140568302010478::public_thin_restore,140568302010478,public_thin_restore,10,2027,2072,179.23340225219727,3,93.50138092041016,1596.937255859375
140582800010478::family_light_thin,140582800010478,family_light_thin,10,2027,2072,331.4609680175781,1,180.134033203125,4018.10888671875
140582800010478::family_uneven_aged_selection,140582800010478,family_uneven_aged_selection,10,2027,2072,1328.0405578613281,3,163.7256317138672,3581.423095703125
140582800010478::no_management,140582800010478,no_management,10,2027,2072,0.0,0,179.61810302734375,4193.38427734375
140582800010478::pine_plantation_long_rotation,140582800010478,pine_plantation_long_rotation,10,2027,2072,1843.6748962402344,2,195.12530517578125,3844.8828125
140582800010478::pine_plantation_short_rotation,140582800010478,pine_plantation_short_rotation,10,2027,2072,987.2550659179688,1,166.55963134765625,3338.2685546875
140582800010478::public_selection_light,140582800010478,public_selection_light,10,2027,2072,1811.5311279296875,4,141.1573028564453,2994.3251953125
140582800010478::public_thin_restore,140582800010478,public_thin_restore,10,2027,2072,972.2091369628906,3,164.99749755859375,3581.52587890625
140593174010478::family_light_thin,140593174010478,family_light_thin,10,2027,2072,12.35423755645752,1,192.24203491210938,2858.273193359375
140593174010478::family_uneven_aged_selection,140593174010478,family_uneven_aged_selection,10,2027,2072,1070.0496826171875,3,175.26547241210938,2405.20263671875
140593174010478::hardwood_clearcut_regen,140593174010478,hardwood_clearcut_regen,10,2027,2072,1591.49951171875,1,59.741539001464844,834.9031982421875
140593174010478::no_management,140593174010478,no_management,10,2027,2072,0.0,0,192.87216186523438,2800.890380859375
140593174010478::public_selection_light,140593174010478,public_selection_light,10,2027,2072,1571.2779541015625,4,148.15957641601562,1988.938232421875
