stand_id,trajectory_id,fvs_run_id,PLT_CN,prescription,base_prescription,offset_years,county,owner_class,owner_group,unit_class,acres,library_size,total_removed_cuft,ending_standing_cuft,cuft_cycle_1,cuft_cycle_2,cuft_cycle_3,cuft_cycle_4,cuft_cycle_5,cuft_cycle_6,cuft_cycle_7,cuft_cycle_8,cuft_cycle_9,cuft_cycle_10
TM23747_Baker_O3,764af10cf8b68d2b,173002836010854::pine_plantation_long_rotation@+5y,173002836010854,pine_plantation_long_rotation@+5y,pine_plantation_long_rotation,5,Baker,private_family,Private,managed,17161.765269352392,13,50855493.37972155,91974341.35560437,0.0,50855493.37972155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM43151_Union_O3,a6c2a03ebda47baa,374861300489998::family_uneven_aged_selection,374861300489998,family_uneven_aged_selection,family_uneven_aged_selection,0,Union,private_family,Private,managed,11108.4000290131,13,29792852.952349596,69688140.78025481,0.0,0.0,8181904.10982178,0.0,0.0,10220029.059993621,0.0,0.0,11390919.782534193,0.0
TM2743_Baker_O6,d0be00b72c357aa6,20342987010478::no_management,20342987010478,no_management,no_management,0,Baker,federal,Federal (NF),managed,11062.364296445763,9,0.0,26926610.330854047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM23749_Columbia_O6,8f21d8ae63b6f4ed,173002845010854::public_selection_light@+5y,173002845010854,public_selection_light@+5y,public_selection_light,5,Columbia,federal,Federal (NF),managed,10736.555850981304,9,21040199.602305833,19353607.844448265,0.0,0.0,5933562.440319311,0.0,5512172.282389213,0.0,5033211.4066138845,0.0,4561253.472983424,0.0
TM67523_Baker_O3,90381b696583324b,718604718290487::family_uneven_aged_selection,718604718290487,family_uneven_aged_selection,family_uneven_aged_selection,0,Baker,private_family,Private,managed,10273.97457687477,13,29130638.38985981,72142505.03292274,0.0,0.0,7740296.061349198,0.0,0.0,9934434.265217591,0.0,0.0,11455908.063293023,0.0
TM59428_Baker_O6,fedc0d155e9bc165,533665395126144::no_management,533665395126144,no_management,no_management,0,Baker,federal,Federal (NF),managed,9993.312284604368,9,0.0,45066627.66163051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64293_Suwannee_O3,b4baae990a7c2da9,638333844126144::pine_plantation_long_rotation@+10y,638333844126144,pine_plantation_long_rotation@+10y,pine_plantation_long_rotation,10,Suwannee,private_family,Private,managed,8871.107905209383,13,73839761.86589967,0.0,0.0,0.0,0.0,0.0,2001625.3446185256,0.0,0.0,71838136.52128114,0.0,0.0
TM2743_Baker_O3,d99a8954e6adb344,20342987010478::pine_plantation_long_rotation,20342987010478,pine_plantation_long_rotation,pine_plantation_long_rotation,0,Baker,private_family,Private,managed,8659.388014368315,13,5333401.853796363,27452786.36508788,5333401.853796363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM36962_Suwannee_O3,923127cfab311386,289516223489998::family_uneven_aged_selection,289516223489998,family_uneven_aged_selection,family_uneven_aged_selection,0,Suwannee,private_family,Private,managed,8372.053876798294,9,10213638.482124489,26221626.34694688,0.0,0.0,3043939.5960323242,0.0,0.0,3207588.6196242156,0.0,0.0,3962110.266467948,0.0
TM59428_Baker_O3,a031f4e956d7e3ca,533665395126144::family_uneven_aged_selection@+5y,533665395126144,family_uneven_aged_selection@+5y,family_uneven_aged_selection,5,Baker,private_family,Private,managed,7854.763471234931,13,8351912.373074867,32938720.49660011,0.0,0.0,0.0,3970038.7967368546,0.0,0.0,4381873.576338012,0.0,0.0,0.0
TM2743_Columbia_O6,98a72c593df4b430,20342987010478::public_thin_restore@+5y,20342987010478,public_thin_restore@+5y,public_thin_restore,5,Columbia,federal,Federal (NF),managed,7400.410806331254,9,1339402.5097640795,14916612.92808281,0.0,345278.04210329126,0.0,0.0,249059.23575506918,0.0,0.0,745065.231905719,0.0,0.0
