prescription,base_prescription,offset_years,unit_class,stands,acres,removed_cuft
family_light_thin,family_light_thin,0,managed,70,8457.008706946706,1553586.9091187352
family_light_thin@+10y,family_light_thin,10,managed,76,4108.2999406586505,490204.7229569819
family_light_thin@+15y,family_light_thin,15,managed,66,3940.836623638352,326514.6566323812
family_light_thin@+5y,family_light_thin,5,managed,66,5570.10124580396,890450.548363907
family_uneven_aged_selection,family_uneven_aged_selection,0,managed,559,228637.91136214044,340427477.38513273
family_uneven_aged_selection@+10y,family_uneven_aged_selection,10,managed,125,36990.04471011697,55592779.64470596
family_uneven_aged_selection@+15y,family_uneven_aged_selection,15,managed,124,8891.568230794863,11003412.398339815
family_uneven_aged_selection@+5y,family_uneven_aged_selection,5,managed,110,11329.905292960264,11669525.96816576
hardwood_clearcut_regen,hardwood_clearcut_regen,0,managed,276,22695.3937608518,64075908.50736727
hardwood_clearcut_regen@+10y,hardwood_clearcut_regen,10,managed,155,7303.224259800218,22254592.499136675
hardwood_clearcut_regen@+15y,hardwood_clearcut_regen,15,managed,214,29204.890824841335,91404214.47173806
hardwood_clearcut_regen@+5y,hardwood_clearcut_regen,5,managed,193,11498.925373883805,34295414.74096698
no_management,no_management,0,managed,270,61366.07630194139,0.0
no_management,no_management,0,riparian,6602,11154.65815642375,0.0
pine_plantation_long_rotation,pine_plantation_long_rotation,0,managed,267,79520.61215187627,251616271.82094055
pine_plantation_long_rotation@+10y,pine_plantation_long_rotation,10,managed,273,63864.90476148996,392039578.79564977
pine_plantation_long_rotation@+15y,pine_plantation_long_rotation,15,managed,401,102988.82799326663,548293680.419595
pine_plantation_long_rotation@+5y,pine_plantation_long_rotation,5,managed,197,74027.4595218612,334723604.36350876
pine_plantation_short_rotation,pine_plantation_short_rotation,0,managed,60,19494.01999125394,67537668.62647003
pine_plantation_short_rotation@+10y,pine_plantation_short_rotation,10,managed,54,3708.211617525163,12826669.04134516
pine_plantation_short_rotation@+15y,pine_plantation_short_rotation,15,managed,62,4760.806410960848,19953037.20120916
pine_plantation_short_rotation@+5y,pine_plantation_short_rotation,5,managed,43,4596.456621747036,20253806.43448363
public_selection_light,public_selection_light,0,managed,444,18095.156426768317,53380664.49617916
public_selection_light@+10y,public_selection_light,10,managed,115,260.64675637156597,364022.0425862955
public_selection_light@+15y,public_selection_light,15,managed,128,980.5388641998586,1481917.4940654433
public_selection_light@+5y,public_selection_light,5,managed,567,31040.093071921678,75177306.27728622
public_thin_restore,public_thin_restore,0,managed,85,32722.954851327515,18126058.221711576
public_thin_restore@+10y,public_thin_restore,10,managed,68,16374.487523998003,10720404.675326422
public_thin_restore@+15y,public_thin_restore,15,managed,78,2046.032558548129,220762.3159861665
public_thin_restore@+5y,public_thin_restore,5,managed,83,19467.77739974213,12486120.663749745
