fvs_run_id,PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac,base_prescription,offset_years
134677819010854::family_light_thin,134677819010854,family_light_thin,0,2022,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,1,2027,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,2,2032,40.026485443115234,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,3,2037,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,4,2042,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,5,2047,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,6,2052,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,7,2057,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,8,2062,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,9,2067,0.0,family_light_thin,0
134677819010854::family_light_thin,134677819010854,family_light_thin,10,2072,0.0,family_light_thin,0
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,0,2022,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,1,2027,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,2,2032,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,3,2037,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,4,2042,286.23309326171875,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,5,2047,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,6,2052,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,7,2057,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,8,2062,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,9,2067,0.0,family_light_thin,10
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,10,2072,0.0,family_light_thin,10
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,0,2022,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,1,2027,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,2,2032,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,3,2037,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,4,2042,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,5,2047,347.55206298828125,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,6,2052,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,7,2057,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,8,2062,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,9,2067,0.0,family_light_thin,15
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,10,2072,0.0,family_light_thin,15
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,0,2022,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,1,2027,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,2,2032,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,3,2037,174.1733856201172,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,4,2042,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,5,2047,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,6,2052,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,7,2057,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,8,2062,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,9,2067,0.0,family_light_thin,5
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,10,2072,0.0,family_light_thin,5
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,0,2022,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,1,2027,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,2,2032,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,3,2037,88.55164337158203,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,4,2042,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,5,2047,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,6,2052,278.3238830566406,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,7,2057,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,8,2062,0.0,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,9,2067,465.4684143066406,family_uneven_aged_selection,0
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,10,2072,0.0,family_uneven_aged_selection,0
