fvs_run_id,PLT_CN,prescription,base_prescription,offset_years,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
134677819010854::family_light_thin,134677819010854,family_light_thin,family_light_thin,0,10,2027,2072,40.026485443115234,1,175.701416015625,3343.79052734375
134677819010854::family_light_thin@+10y,134677819010854,family_light_thin@+10y,family_light_thin,10,10,2027,2072,286.23309326171875,1,176.7926788330078,3439.74169921875
134677819010854::family_light_thin@+15y,134677819010854,family_light_thin@+15y,family_light_thin,15,10,2027,2072,347.55206298828125,1,176.82095336914062,3471.1748046875
134677819010854::family_light_thin@+5y,134677819010854,family_light_thin@+5y,family_light_thin,5,10,2027,2072,174.1733856201172,1,173.4752655029297,3309.521728515625
134677819010854::family_uneven_aged_selection,134677819010854,family_uneven_aged_selection,family_uneven_aged_selection,0,10,2027,2072,832.3439407348633,3,161.48980712890625,3174.81494140625
134677819010854::family_uneven_aged_selection@+10y,134677819010854,family_uneven_aged_selection@+10y,family_uneven_aged_selection,10,10,2027,2072,636.0488739013672,2,174.68429565429688,3462.203369140625
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,family_uneven_aged_selection,15,10,2027,2072,786.99169921875,2,163.38192749023438,3303.39208984375
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,family_uneven_aged_selection,5,10,2027,2072,506.5208435058594,2,175.23171997070312,3458.935302734375
134677819010854::no_management,134677819010854,no_management,no_management,0,10,2027,2072,0.0,0,179.27923583984375,3749.1103515625
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,pine_plantation_long_rotation,0,10,2027,2072,837.2327136993408,2,177.8238525390625,2618.56005859375
134677819010854::pine_plantation_long_rotation@+10y,134677819010854,pine_plantation_long_rotation@+10y,pine_plantation_long_rotation,10,10,2027,2072,1879.964614868164,2,127.64095306396484,211.2973175048828
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,pine_plantation_long_rotation,15,10,2027,2072,2562.2694396972656,2,76.73291015625,0.0
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,pine_plantation_long_rotation,5,10,2027,2072,1331.6991653442383,2,169.73806762695312,1859.9635009765625
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,pine_plantation_short_rotation,0,10,2027,2072,150.48396062850952,2,193.38388061523438,3878.602294921875
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,pine_plantation_short_rotation,10,10,2027,2072,928.0178375244141,2,177.50662231445312,2609.352294921875
