stand_id,trajectory_id,fvs_run_id,PLT_CN,prescription,base_prescription,timing_offset_years,county,owner_class,owner_group,unit_class,acres,library_size,total_removed_cuft,ending_standing_cuft,cuft_cycle_1,cuft_cycle_2,cuft_cycle_3,cuft_cycle_4,cuft_cycle_5,cuft_cycle_6,cuft_cycle_7,cuft_cycle_8,cuft_cycle_9,cuft_cycle_10
TM23747_Baker_O3,f0e895b599ea977a,173002836010854::family_uneven_aged_selection@+10,173002836010854,family_uneven_aged_selection@+10,family_uneven_aged_selection,10,Baker,private_family,Private,managed,17161.765269352392,13,28892120.932957582,103879100.9448289,0.0,0.0,0.0,0.0,13286380.155683717,0.0,0.0,15605740.777273867,0.0,0.0
TM43151_Union_O3,be3ba364fe54f307,374861300489998::family_uneven_aged_selection@+0,374861300489998,family_uneven_aged_selection@+0,family_uneven_aged_selection,0,Union,private_family,Private,managed,11108.4000290131,13,29792852.952349596,69688140.78025481,0.0,0.0,8181904.10982178,0.0,0.0,10220029.059993621,0.0,0.0,11390919.782534193,0.0
TM2743_Baker_O6,0f5b527841b0455f,20342987010478::public_thin_restore@+10,20342987010478,public_thin_restore@+10,public_thin_restore,10,Baker,federal,Federal (NF),managed,11062.364296445763,9,2184613.715414907,22470921.718529053,0.0,0.0,463544.3507828931,0.0,0.0,396158.9788879182,0.0,0.0,1324910.3857440955,0.0
TM23749_Columbia_O6,77b090c14afddebb,173002845010854::public_thin_restore@+5,173002845010854,public_thin_restore@+5,public_thin_restore,5,Columbia,federal,Federal (NF),managed,10736.555850981304,9,1042520.0277497685,41752085.628120415,0.0,607311.30104425,0.0,0.0,361511.9390295527,0.0,0.0,73696.78767596575,0.0,0.0
TM67523_Baker_O3,b5d9b61a5cf62adc,718604718290487::family_uneven_aged_selection@+5,718604718290487,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,10273.97457687477,13,30780669.18268498,66316045.25674912,0.0,0.0,0.0,8581986.286555786,0.0,0.0,10495850.79004533,0.0,0.0,11702832.106083864
TM59428_Baker_O6,fedc0d155e9bc165,533665395126144::no_management,533665395126144,no_management,no_management,0,Baker,federal,Federal (NF),managed,9993.312284604368,9,0.0,45066627.66163051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64293_Suwannee_O3,e2fc0c872081b789,638333844126144::pine_plantation_long_rotation@+15,638333844126144,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Suwannee,private_family,Private,managed,8871.107905209383,13,80135167.49582504,0.0,0.0,0.0,0.0,0.0,0.0,1173479.3475128787,0.0,0.0,78961688.14831215,0.0
TM2743_Baker_O3,32cab7dc9ca281fb,20342987010478::family_uneven_aged_selection@+5,20342987010478,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,8659.388014368315,13,5823788.456734989,14720755.348701797,0.0,0.0,0.0,1345712.448065916,0.0,0.0,1880296.3369920617,0.0,0.0,2597779.6716770106
TM36962_Suwannee_O3,0931a1ac48baf267,289516223489998::family_uneven_aged_selection@+5,289516223489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Suwannee,private_family,Private,managed,8372.053876798294,9,10828626.493842803,23951360.28858485,0.0,0.0,0.0,3154724.9553332394,0.0,0.0,3447189.0958547657,0.0,0.0,4226712.442654797
TM59428_Baker_O3,4918d5543003997d,533665395126144::pine_plantation_long_rotation@+10,533665395126144,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Baker,private_family,Private,managed,7854.763471234931,13,23957912.631690424,12136702.633169932,0.0,0.0,23957912.631690424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM2743_Columbia_O6,b3686cfcdfc21145,20342987010478::public_thin_restore@+15,20342987010478,public_thin_restore@+15,public_thin_restore,15,Columbia,federal,Federal (NF),managed,7400.410806331254,9,1871493.610699405,14708654.959202508,0.0,0.0,0.0,318817.84142144513,0.0,0.0,611402.3128374239,0.0,0.0,941273.4564405361
TM48634_Baker_O3,9a8f728aa4521c44,448940584489998::family_uneven_aged_selection@+5,448940584489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,7105.5152440883385,13,16517267.189306544,33571109.63478628,0.0,0.0,0.0,5018567.649893337,0.0,0.0,5574385.564231825,0.0,0.0,5924313.975181382
TM43151_Baker_O3,a57d3404431ca859,374861300489998::family_uneven_aged_selection@+5,374861300489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,6898.020855270361,13,19500263.306001335,41106642.599688075,0.0,0.0,0.0,5609689.996057967,0.0,0.0,6636454.758673099,0.0,0.0,7254118.551270272
TM23747_Columbia_O6,20b2054b4b29f47b,173002836010854::public_thin_restore@+0,173002836010854,public_thin_restore@+0,public_thin_restore,0,Columbia,federal,Federal (NF),managed,6880.229267804724,9,6129969.745648581,45039149.888507344,4030989.5968880383,0.0,0.0,1802190.8937073369,0.0,0.0,296789.25505320565,0.0,0.0,0.0
TM36935_Baker_O3,e9e34dba32ebc752,289515947489998::family_uneven_aged_selection@+5,289515947489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,6762.1376060015655,13,13064630.629713934,26998480.724205576,0.0,0.0,0.0,3899616.2924297564,0.0,0.0,4400575.78552437,0.0,0.0,4764438.551759807
TM59428_Columbia_O6,4c446582561472f1,533665395126144::no_management,533665395126144,no_management,no_management,0,Columbia,federal,Federal (NF),managed,6227.500402659207,9,0.0,28084025.988226935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM23748_Union_O3,9b32faff03ac4c87,173002842010854::pine_plantation_long_rotation@+0,173002842010854,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Union,private_family,Private,managed,6115.413401625701,13,10442123.625047335,20086279.861496065,10442123.625047335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48592_Suwannee_O3,e621b05e67adb6fc,448940348489998::family_uneven_aged_selection@+5,448940348489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Suwannee,private_family,Private,managed,6073.380776238136,9,8552987.124724958,19986103.45322908,0.0,0.0,0.0,2152543.0798904668,0.0,0.0,2873483.4780371985,0.0,0.0,3526960.566797292
TM36897_Hamilton_O3,2c3de17427d8776e,289515725489998::family_uneven_aged_selection@+5,289515725489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Hamilton,private_family,Private,managed,5675.516401537853,9,8853356.990589725,20202990.65970878,0.0,0.0,0.0,2224765.3639575895,0.0,0.0,3063359.2849179953,0.0,0.0,3565232.3417141405
TM50183_Baker_O3,ec41b600958c08ce,451136888489998::family_uneven_aged_selection@+5,451136888489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,5460.460588046979,9,9524897.302556574,22418246.55885056,0.0,0.0,0.0,2429711.9925231617,0.0,0.0,3139025.9562224904,0.0,0.0,3956159.3538109227
TM64406_Hamilton_O4,32d70175e655e06c,638334495126144::pine_plantation_short_rotation@+0,638334495126144,pine_plantation_short_rotation@+0,pine_plantation_short_rotation,0,Hamilton,private_industrial,Private,managed,5429.770099668757,9,21877052.77251227,32466050.964876883,21877052.77251227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67372_Union_O3,03f57909421e27bb,718603850290487::family_uneven_aged_selection@+5,718603850290487,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Union,private_family,Private,managed,5284.546266980504,9,9373781.32347407,21980028.060726315,0.0,0.0,0.0,2182672.751497471,0.0,0.0,3312280.318349443,0.0,0.0,3878828.2536271564
TM36962_Columbia_O3,63e49934c8b0c46a,289516223489998::family_uneven_aged_selection@+0,289516223489998,family_uneven_aged_selection@+0,family_uneven_aged_selection,0,Columbia,private_family,Private,managed,5006.552712829943,9,6107834.493547256,15680734.554986535,0.0,0.0,1820299.3275569046,0.0,0.0,1918162.704342684,0.0,0.0,2369372.4616476675,0.0
TM64454_Baker_O3,02fa0b71650ab03d,638334746126144::pine_plantation_long_rotation@+0,638334746126144,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Baker,private_family,Private,managed,5064.15297724994,13,19505738.48904589,35888784.221208304,1016672.9875214258,0.0,18489065.501524463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM43291_Baker_O3,0ba2bff76a5d6743,374861937489998::pine_plantation_long_rotation@+0,374861937489998,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Baker,private_family,Private,managed,5041.691098074575,13,18810962.60155852,17559449.40975522,1814155.3327665327,16996807.26879199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM59213_Columbia_O6,31621a06f8eee029,533664592126144::public_thin_restore@+15,533664592126144,public_thin_restore@+15,public_thin_restore,15,Columbia,federal,Federal (NF),managed,4980.532516161451,9,2746387.895680195,22045340.895084277,0.0,0.0,0.0,1595.648472504146,0.0,0.0,1075830.9700222476,0.0,0.0,1668961.2771854436
TM48658_Suwannee_O3,79f9c5f959115cd1,448940864489998::pine_plantation_long_rotation@+15,448940864489998,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Suwannee,private_family,Private,managed,4936.275942340681,13,29434044.959130075,23308316.47574374,0.0,0.0,0.0,322629.9520574956,29111415.00707258,0.0,0.0,0.0,0.0,0.0
TM67371_Columbia_O6,4f01fba3f863b973,718603849290487::public_thin_restore@+5,718603849290487,public_thin_restore@+5,public_thin_restore,5,Columbia,federal,Federal (NF),managed,4747.46272036162,9,2274003.5117344894,12993762.580834672,0.0,1269303.7301758348,0.0,0.0,738345.1988192876,0.0,0.0,266354.5827393669,0.0,0.0
TM67372_Baker_O3,88839b1c503e0b7d,718603850290487::family_uneven_aged_selection@+5,718603850290487,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,4408.977768827897,9,7820689.114463154,18338273.558787107,0.0,0.0,0.0,1821037.2568991398,0.0,0.0,2763486.1253799223,0.0,0.0,3236165.7321840916
TM48445_Columbia_O6,a847e953ee735066,448939642489998::public_selection_light@+5,448939642489998,public_selection_light@+5,public_selection_light,5,Columbia,federal,Federal (NF),managed,4391.853365892222,9,12502675.033034116,13362251.393770985,0.0,0.0,3107083.999733504,0.0,3218214.187783927,0.0,3125975.0809168466,0.0,3051401.764599839,0.0
TM35220_Hamilton_O3,39b8e60cfe8d2394,259083023010854::family_uneven_aged_selection@+0,259083023010854,family_uneven_aged_selection@+0,family_uneven_aged_selection,0,Hamilton,private_family,Private,managed,4217.718203572311,9,6807633.2430408485,15850690.599756666,0.0,0.0,1871133.119870427,0.0,0.0,2365817.6109839203,0.0,0.0,2570682.512186501,0.0
TM67205_Hamilton_O3,cdd57e1dc8d41e66,718562044290487::pine_plantation_long_rotation@+10,718562044290487,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Hamilton,private_family,Private,managed,4270.203386595937,13,40552575.099379405,0.0,0.0,0.0,0.0,0.0,1875791.742155961,0.0,0.0,0.0,38676783.35722344,0.0
TM43181_Baker_O3,e87d435e50082f0b,374861410489998::family_uneven_aged_selection@+5,374861410489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Baker,private_family,Private,managed,4222.388495282041,9,12931653.385900568,24163083.595991135,0.0,0.0,0.0,4327702.863801328,0.0,0.0,4339875.733563667,0.0,0.0,4264074.788535572
TM67509_Baker_O3,99ff58a3c12da9c6,718604473290487::pine_plantation_long_rotation@+15,718604473290487,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Baker,private_family,Private,managed,4218.162993258952,13,23839737.51722678,11063061.351926075,0.0,0.0,0.0,767261.2953074088,0.0,23072476.221919373,0.0,0.0,0.0,0.0
TM36897_Suwannee_O3,29d276b004da0747,289515725489998::family_uneven_aged_selection@+5,289515725489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Suwannee,private_family,Private,managed,4083.3917182067607,9,6369768.326967789,14535545.121587496,0.0,0.0,0.0,1600662.8858787345,0.0,0.0,2204010.1814411962,0.0,0.0,2565095.2596478583
TM64293_Columbia_O3,f755504750f05349,638333844126144::pine_plantation_long_rotation@+10,638333844126144,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Columbia,private_family,Private,managed,4115.861365331546,13,34258880.21389869,0.0,0.0,0.0,0.0,0.0,928679.0907983417,0.0,0.0,33330201.123100348,0.0,0.0
TM64454_Union_O3,275a8fc838cab633,638334746126144::pine_plantation_long_rotation@+10,638334746126144,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Union,private_family,Private,managed,3879.9004365685496,13,19618321.528278176,14742474.54972497,0.0,0.0,409078.4475075476,0.0,19209243.080770627,0.0,0.0,0.0,0.0,0.0
TM23748_Baker_O3,64ea5c73b4912d6a,173002842010854::pine_plantation_long_rotation@+0,173002842010854,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Baker,private_family,Private,managed,3901.917526057274,13,6662559.4225563845,12815978.622807056,6662559.4225563845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48658_Columbia_O3,732d1c5f82a0a365,448940864489998::pine_plantation_long_rotation@+15,448940864489998,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Columbia,private_family,Private,managed,3842.0933132040736,13,22909648.617495555,18141758.66980307,0.0,0.0,0.0,251115.29337472047,22658533.324120834,0.0,0.0,0.0,0.0,0.0
TM64293_Columbia_O4,7d730abf5f53c2b8,638333844126144::pine_plantation_long_rotation@+15,638333844126144,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Columbia,private_industrial,Private,managed,3692.8663733360527,9,33358681.74855661,0.0,0.0,0.0,0.0,0.0,0.0,488496.19106649334,0.0,0.0,32870185.557490118,0.0
TM48634_Columbia_O6,ea496c5b43434348,448940584489998::public_thin_restore@+5,448940584489998,public_thin_restore@+5,public_thin_restore,5,Columbia,federal,Federal (NF),managed,3617.919311137061,9,4475127.53636925,20000912.589577366,0.0,2296938.6677730167,0.0,0.0,1388908.7125006441,0.0,0.0,789280.1560955894,0.0,0.0
TM64479_Columbia_O3,d5e5d1c83273d026,638335018126144::pine_plantation_long_rotation@+5,638335018126144,pine_plantation_long_rotation@+5,pine_plantation_long_rotation,5,Columbia,private_family,Private,managed,3611.247465837448,13,9821747.602605266,15059490.87622067,0.0,9821747.602605266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM50147_Hamilton_O3,25a88169494859d8,451136773489998::family_uneven_aged_selection@+5,451136773489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Hamilton,private_family,Private,managed,3580.7793723025466,9,4958466.095861387,10863714.604611501,0.0,0.0,0.0,1373878.8671743418,0.0,0.0,1667460.8134448815,0.0,0.0,1917126.415242164
TM50147_Columbia_O3,1b8425e3ed2c1e3f,451136773489998::family_uneven_aged_selection@+5,451136773489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Columbia,private_family,Private,managed,3605.909989597756,9,4993265.590851283,10939958.300675163,0.0,0.0,0.0,1383521.0205803844,0.0,0.0,1679163.3829697098,0.0,0.0,1930581.1873011885
TM64406_Hamilton_O3,cb577ad189600d97,638334495126144::pine_plantation_long_rotation@+0,638334495126144,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Hamilton,private_family,Private,managed,3543.8618283113515,13,16663251.511029761,29888020.468902893,2370501.15998635,14292750.35104341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM48445_Baker_O3,37e477a6b3fd00b4,448939642489998::pine_plantation_long_rotation@+5,448939642489998,pine_plantation_long_rotation@+5,pine_plantation_long_rotation,5,Baker,private_family,Private,managed,3527.6270047489584,13,10377929.846961444,10487169.15586827,0.0,10377929.846961444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM64452_Baker_O3,a4f783bcc39633c6,638334742126144::family_uneven_aged_selection@+15,638334742126144,family_uneven_aged_selection@+15,family_uneven_aged_selection,15,Baker,private_family,Private,managed,3449.121625056841,13,5269807.545775086,16677853.738567451,0.0,0.0,0.0,0.0,0.0,2513932.0000566193,0.0,0.0,2755875.5457184664,0.0
TM67523_Columbia_O6,5d58800f1d2b5136,718604718290487::public_selection_light@+10,718604718290487,public_selection_light@+10,public_selection_light,10,Columbia,federal,Federal (NF),managed,3462.242920812747,9,16802639.35115297,17274472.22728593,0.0,0.0,0.0,3856076.4341517994,0.0,4257883.418553358,0.0,4370060.596352181,0.0,4318618.902095633
TM43235_Hamilton_O4,e76036514d4982f9,374861676489998::pine_plantation_short_rotation@+0,374861676489998,pine_plantation_short_rotation@+0,pine_plantation_short_rotation,0,Hamilton,private_industrial,Private,managed,3453.347127079929,9,15622278.249052335,25575126.2891538,1547768.3038518662,14074509.94520047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM35378_Columbia_O3,525840eaa31d4194,259178355010854::family_uneven_aged_selection@+5,259178355010854,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Columbia,private_family,Private,managed,3414.2056346555296,9,3432323.5969784968,8669722.75084333,0.0,0.0,0.0,790067.1681317728,0.0,0.0,1112305.7474255702,0.0,0.0,1529950.6814211537
TM67205_Hamilton_O4,6dc4c3a7949b5eea,718562044290487::pine_plantation_long_rotation@+15,718562044290487,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Hamilton,private_industrial,Private,managed,3435.555539614293,9,33627208.18570959,0.0,0.0,0.0,0.0,0.0,0.0,1473978.0918476856,0.0,0.0,0.0,32153230.093861904
TM67279_Columbia_O6,5b5492ea74eaea99,718562372290487::public_selection_light@+5,718562372290487,public_selection_light@+5,public_selection_light,5,Columbia,federal,Federal (NF),managed,3367.725112401556,9,10392523.643720204,9720312.021679599,0.0,0.0,2915000.6169096,0.0,2718137.1046658442,0.0,2476208.069683846,0.0,2283177.8524609143,0.0
TM48596_Suwannee_O3,a9546622e108fa8e,448940355489998::family_uneven_aged_selection@+5,448940355489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Suwannee,private_family,Private,managed,3196.925872731452,9,5280775.972615385,10094270.02816514,0.0,0.0,0.0,1722218.1535176854,0.0,0.0,1777216.0494214993,0.0,0.0,1781341.769676201
TM59421_Columbia_O6,299bc4af5e585914,533665369126144::public_selection_light@+10,533665369126144,public_selection_light@+10,public_selection_light,10,Columbia,federal,Federal (NF),managed,3189.8092377451967,9,5516994.103498706,7313721.714264004,0.0,0.0,0.0,912139.0347351907,0.0,1256751.7422857177,0.0,1519673.6766738172,0.0,1828429.64980398
TM43326_Union_O3,f60067236dfbeef5,374862340489998::family_uneven_aged_selection@+5,374862340489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Union,private_family,Private,managed,3167.124963726511,9,4067373.2756509585,9153117.857231,0.0,0.0,0.0,1054377.635182836,0.0,0.0,1397739.3888224438,0.0,0.0,1615256.251645679
TM64293_Union_O3,1dfd73a3c518e49a,638333844126144::pine_plantation_long_rotation@+10,638333844126144,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Union,private_family,Private,managed,3148.4437968875936,13,26206460.64668308,0.0,0.0,0.0,0.0,0.0,710396.6006609458,0.0,0.0,25496064.046022132,0.0,0.0
TM36897_Columbia_O3,8ea68a2b61b0bdab,289515725489998::family_uneven_aged_selection@+5,289515725489998,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Columbia,private_family,Private,managed,3055.4827523796457,9,4766311.58674421,10876523.850851838,0.0,0.0,0.0,1197729.2843030298,0.0,0.0,1649196.4426131793,0.0,0.0,1919385.8598280007
TM59294_Hamilton_O3,eb6365c40af4874c,533664907126144::pine_plantation_long_rotation@+15,533664907126144,pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,Hamilton,private_family,Private,managed,3087.0628201311497,13,22404037.72734841,8612934.661586314,0.0,0.0,0.0,2394986.823046399,0.0,20009050.904302012,0.0,0.0,0.0,0.0
TM67475_Suwannee_O3,38faeb3da9115f80,718604294290487::family_uneven_aged_selection@+5,718604294290487,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,Suwannee,private_family,Private,managed,3085.283661384586,9,1512451.047669299,3487748.736815068,0.0,0.0,0.0,389001.09073905,0.0,0.0,507965.0075757353,0.0,0.0,615484.9493545135
TM2718_Suwannee_O3,54abe5edefbfd40d,20303487010478::pine_plantation_long_rotation@+10,20303487010478,pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,Suwannee,private_family,Private,managed,3086.618030444509,13,12113452.806838563,9450372.12284598,0.0,0.0,12113452.806838563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM67372_Baker_O4,7097bac319509850,718603850290487::hardwood_clearcut_regen@+5,718603850290487,hardwood_clearcut_regen@+5,hardwood_clearcut_regen,5,Baker,private_industrial,Private,managed,3018.565208388451,5,10039696.296292229,1694527.3303289583,0.0,0.0,0.0,0.0,10039696.296292229,0.0,0.0,0.0,0.0,0.0
TM67541_Suwannee_O3,4015141d4fe5ed82,718604892290487::pine_plantation_long_rotation@+0,718604892290487,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,Suwannee,private_family,Private,managed,3037.9135597573304,13,6383983.992876315,4248664.144679682,6383983.992876315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
