base_prescription,template,offset_years,resolved_params,entries_kept,entries_dropped,collapsed_to_no_management,entry_years
family_light_thin,thin_from_below,0,max_dbh=8.0;proportion=0.35;year=2032,1,0,False,2032
family_light_thin,thin_from_below,5,max_dbh=8.0;proportion=0.35;year=2032,1,0,False,2037
family_light_thin,thin_from_below,10,max_dbh=8.0;proportion=0.35;year=2032,1,0,False,2042
family_light_thin,thin_from_below,15,max_dbh=8.0;proportion=0.35;year=2032,1,0,False,2047
family_uneven_aged_selection,selection_harvest,0,end_year=2067;interval=15;proportion=0.15;start_year=2037,3,0,False,2037;2052;2067
family_uneven_aged_selection,selection_harvest,5,end_year=2067;interval=15;proportion=0.15;start_year=2037,3,0,False,2042;2057;2072
family_uneven_aged_selection,selection_harvest,10,end_year=2067;interval=15;proportion=0.15;start_year=2037,2,1,False,2047;2062
family_uneven_aged_selection,selection_harvest,15,end_year=2067;interval=15;proportion=0.15;start_year=2037,2,1,False,2052;2067
pine_plantation_long_rotation,clearcut,0,year=2027,1,0,False,2027
pine_plantation_long_rotation,clearcut,5,year=2027,1,0,False,2032
pine_plantation_long_rotation,clearcut,10,year=2027,1,0,False,2037
pine_plantation_long_rotation,clearcut,15,year=2027,1,0,False,2042
pine_plantation_long_rotation,plantation_rotation,0,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2027;2042
pine_plantation_long_rotation,plantation_rotation,5,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2032;2047
pine_plantation_long_rotation,plantation_rotation,10,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2037;2052
pine_plantation_long_rotation,plantation_rotation,15,clearcut_year=2042;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2027,2,0,False,2042;2057
public_selection_light,selection_harvest,0,end_year=2062;interval=10;proportion=0.2;start_year=2032,4,0,False,2032;2042;2052;2062
public_selection_light,selection_harvest,5,end_year=2062;interval=10;proportion=0.2;start_year=2032,4,0,False,2037;2047;2057;2067
public_selection_light,selection_harvest,10,end_year=2062;interval=10;proportion=0.2;start_year=2032,4,0,False,2042;2052;2062;2072
public_selection_light,selection_harvest,15,end_year=2062;interval=10;proportion=0.2;start_year=2032,3,1,False,2047;2057;2067
public_thin_restore,thin_from_below_repeated,0,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027,3,0,False,2027;2042;2057
public_thin_restore,thin_from_below_repeated,5,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027,3,0,False,2032;2047;2062
public_thin_restore,thin_from_below_repeated,10,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027,3,0,False,2037;2052;2067
public_thin_restore,thin_from_below_repeated,15,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027,3,0,False,2042;2057;2072
pine_plantation_long_rotation,plantation_rotation,0,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2037,2,0,False,2037;2052
pine_plantation_long_rotation,plantation_rotation,5,clearcut_year=2052;thin_max_dbh=9.0;thin_proportion=0.35;thin_year=2037,2,0,False,2042;2057
