prescription,base_prescription,timing_offset_years,unit_class,stands,acres,removed_cuft
family_light_thin@+0,family_light_thin,0,managed,63,925.8297327430283,131177.05734831982
family_light_thin@+10,family_light_thin,10,managed,69,3793.833632203536,553757.4086337915
family_light_thin@+15,family_light_thin,15,managed,61,2075.833467553069,182234.0160817765
family_light_thin@+5,family_light_thin,5,managed,72,1811.183604001735,227542.71640309665
family_uneven_aged_selection@+0,family_uneven_aged_selection,0,managed,239,64195.60589350747,113295235.29573742
family_uneven_aged_selection@+10,family_uneven_aged_selection,10,managed,101,22216.577663182874,35782629.41849206
family_uneven_aged_selection@+15,family_uneven_aged_selection,15,managed,103,7401.522780547857,8543668.095677568
family_uneven_aged_selection@+5,family_uneven_aged_selection,5,managed,484,225123.6280479907,365879927.640387
hardwood_clearcut_regen@+0,hardwood_clearcut_regen,0,managed,227,17051.45742706545,47565577.875290565
hardwood_clearcut_regen@+10,hardwood_clearcut_regen,10,managed,174,9141.540034687048,22911202.03624589
hardwood_clearcut_regen@+15,hardwood_clearcut_regen,15,managed,245,28489.00182419281,96111979.93312594
hardwood_clearcut_regen@+5,hardwood_clearcut_regen,5,managed,206,18863.753005283786,55884804.196265936
no_management,no_management,0,managed,231,35806.0145642789,0.0
no_management,no_management,0,riparian,6602,11154.65815642375,0.0
pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,managed,238,79749.90123533965,268813881.64792204
pine_plantation_long_rotation@+10,pine_plantation_long_rotation,10,managed,222,68599.69097578232,379655391.38950425
pine_plantation_long_rotation@+15,pine_plantation_long_rotation,15,managed,459,123369.98101452584,743878580.7864807
pine_plantation_long_rotation@+5,pine_plantation_long_rotation,5,managed,207,29179.982602389446,114064255.58367772
pine_plantation_short_rotation@+0,pine_plantation_short_rotation,0,managed,70,23324.326377762027,75976332.60290146
pine_plantation_short_rotation@+10,pine_plantation_short_rotation,10,managed,47,5307.897725529151,18498361.079606406
pine_plantation_short_rotation@+15,pine_plantation_short_rotation,15,managed,67,7596.118268453249,32411731.17978652
pine_plantation_short_rotation@+5,pine_plantation_short_rotation,5,managed,54,2985.650771577025,8984332.545467176
public_selection_light@+0,public_selection_light,0,managed,225,3757.5832727423026,8834183.199464817
public_selection_light@+10,public_selection_light,10,managed,563,22767.227295244305,65544005.31625532
public_selection_light@+15,public_selection_light,15,managed,98,96.74175684439523,147695.8884919447
public_selection_light@+5,public_selection_light,5,managed,354,20469.221379214105,63525378.48146919
public_thin_restore@+0,public_thin_restore,0,managed,96,22800.36412689905,16396298.081353186
public_thin_restore@+10,public_thin_restore,10,managed,90,22168.985166712297,11919386.377096266
public_thin_restore@+15,public_thin_restore,15,managed,77,13981.963799556615,5726616.279367408
public_thin_restore@+5,public_thin_restore,5,managed,87,30891.755711426937,16284732.614045294
