fvs_run_id,PLT_CN,prescription,base_prescription,offset_years,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac,cuft_cycle_0,cuft_cycle_1,cuft_cycle_2,cuft_cycle_3,cuft_cycle_4,cuft_cycle_5,cuft_cycle_6,cuft_cycle_7,cuft_cycle_8,cuft_cycle_9,cuft_cycle_10,cuft_cycle_11
134677819010854::family_light_thin@+0,134677819010854,family_light_thin@+0,family_light_thin,0,10,2027,2072,40.026485443115234,1,175.701416015625,3343.79052734375,0.0,0.0,40.026485443115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134677819010854::family_light_thin@+10,134677819010854,family_light_thin@+10,family_light_thin,10,10,2027,2072,286.23309326171875,1,176.7926788330078,3439.74169921875,0.0,0.0,0.0,0.0,286.23309326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134677819010854::family_light_thin@+15,134677819010854,family_light_thin@+15,family_light_thin,15,10,2027,2072,347.55206298828125,1,176.82095336914062,3471.1748046875,0.0,0.0,0.0,0.0,0.0,347.55206298828125,0.0,0.0,0.0,0.0,0.0,0.0
134677819010854::family_light_thin@+5,134677819010854,family_light_thin@+5,family_light_thin,5,10,2027,2072,174.1733856201172,1,173.4752655029297,3309.521728515625,0.0,0.0,0.0,174.1733856201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134677819010854::family_uneven_aged_selection@+0,134677819010854,family_uneven_aged_selection@+0,family_uneven_aged_selection,0,10,2027,2072,832.3439407348633,3,161.48980712890625,3174.81494140625,0.0,0.0,0.0,88.55164337158203,0.0,0.0,278.3238830566406,0.0,0.0,465.4684143066406,0.0,0.0
134677819010854::family_uneven_aged_selection@+10,134677819010854,family_uneven_aged_selection@+10,family_uneven_aged_selection,10,10,2027,2072,636.0488739013672,2,174.68429565429688,3462.203369140625,0.0,0.0,0.0,0.0,0.0,226.4138336181641,0.0,0.0,409.6350402832031,0.0,0.0,0.0
134677819010854::family_uneven_aged_selection@+15,134677819010854,family_uneven_aged_selection@+15,family_uneven_aged_selection,15,10,2027,2072,786.99169921875,2,163.38192749023438,3303.39208984375,0.0,0.0,0.0,0.0,0.0,0.0,305.7286071777344,0.0,0.0,481.2630920410156,0.0,0.0
134677819010854::family_uneven_aged_selection@+5,134677819010854,family_uneven_aged_selection@+5,family_uneven_aged_selection,5,10,2027,2072,1025.3612365722656,3,148.9471893310547,2940.0949096679688,0.0,0.0,0.0,0.0,146.58236694335938,0.0,0.0,359.9384765625,0.0,0.0,518.8403930664062,0.0
134677819010854::no_management,134677819010854,no_management,no_management,0,10,2027,2072,0.0,0,179.27923583984375,3749.1103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134677819010854::pine_plantation_long_rotation@+0,134677819010854,pine_plantation_long_rotation@+0,pine_plantation_long_rotation,0,10,2027,2072,837.2327136993408,2,177.8238525390625,2618.56005859375,0.0,14.84453010559082,0.0,0.0,822.38818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
